Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
AR,1.482788369595049,0.1501259799148677,-1.556361030721764,0.0431898198683326
ARL6IP1,1.578487016230719,0.0078940574265077,2.069311293706027,0.0079408379020782
ATF3,1.359402788544813,0.2987878846471695,1.471552390844536,0.0209699197830421
ATP2A3,-1.630240593240879,0.0779157009227784,-1.59963591932111,0.016534021814259
BCL3,2.30069754466348,0.049976226801477,-1.990328512785353,0.0194319729650678
BDNF,2.857730779568754,0.0599727519325547,-1.877829628348426,0.0289314931805171
CAV1,1.102000889506735,0.1351526901698523,-1.322444122196902,0.0265254677421535
CD40,-1.696784090173075,0.0830288164651013,-1.776539391722786,0.033362721386766
CXCL12,-1.272349811717579,0.1287687959411371,-1.61164518525513,0.047773960366142
CYP1B1,1.022758339064127,0.1111658923325487,-1.564765256151592,0.0408452612752078
DHCR24,-0.8515135398280274,0.2250972141528978,-1.984071319440682,0.0245911723720149
FADD,0.667591467401861,0.1046281219807574,-1.24366788936825,0.0209646243459766
GHRH,-2.21567127532413,0.0825788017821139,-1.183477658238142,0.0488041711361648
ING2,0.5773397551332948,0.260338308348801,2.077655113717917,0.0061711454818614
IRS2,1.10717003616684,0.1371127072815898,-1.701881335860361,0.0486742553523615
KDR,-1.079849710798367,0.3092970002238112,-1.855321183284069,0.0418451607338171
LIFR,-0.8428953637233274,0.302597281160785,-1.328841582406143,0.0382932599946072
LMNA,1.50758645163987,0.0375588357340491,-1.214426789147304,0.0382816629887016
MAPK8IP1,-0.5149739904233765,0.1981817445019218,-1.742708139066685,0.0202440533423668
MAPT,-0.5301126292350222,0.3070227759898025,1.265797547802065,0.0409024367231568
MUC1,1.484699884766452,0.0988782095320425,1.643328089451278,0.0217246542408722
NES,1.198390552421856,0.0212885893617171,2.33836483814946,0.0046560660548287
NR4A1,1.518584033126103,0.069562968348531,-1.605058216773056,0.024942939423976
NR4A3,1.75230544296314,0.0651651861378937,-2.215664333529,0.0306416025765473
PAK4,0.5288098564893424,0.2348860127316982,2.671578443873649,0.0006835054750869221
PCDHGC4,0.9126468021747148,0.0355751037035873,1.34183463274905,0.0404410268401023
PCDHGC5,-1.118090990358704,0.1501259799148677,1.935709819947605,0.0060957448179736
PIH1D1,1.093693085707722,0.0961830015439638,1.807792044870512,0.0194413470432193
PLA2G6,-1.002658757690496,0.0211181114722254,-1.542519915821424,0.0315896083685545
PPARA,-1.529350670720296,0.2576092245957443,-1.43624383355315,0.0354394467627441
PPP2R1A,-0.5249515875139164,0.1812296340899968,-1.235673404274757,0.0329767362536439
PSEN2,-1.507763926453624,0.0084882155502654,-1.333214755992439,0.0398877637129954
RAD21,1.343629372536828,0.0236892274369109,1.553518999812994,0.0401567828791761
RB1,0.7738254658681267,0.0541987543458328,1.865309897560445,0.0036199067052873
RFFL,-0.8946652625910172,0.0599727519325547,-1.502922894659618,0.0143547101102917
RYR2,1.325009929852157,0.182270320254182,-1.48348466298881,0.038123585111861
SERPINB9,-1.14742757628057,0.1901240517748884,-1.502907924162568,0.018416118168869
SIAH1B,0.932444166841874,0.1065083249417948,2.996789287584696,2.787089932040825e-05
SLC1A1,-1.092305576542954,0.2362294707546224,-1.579424852769362,0.04184958417778
TERT,1.071666128427374,0.1748474172910255,-1.979188290395585,0.0103520915664719
THBS1,3.009114408730682,0.0399030527856418,-1.546344439465192,0.0402434926190056
TRIB3,2.468451237054543,0.0948587924122586,-1.194891440472149,0.048787300205776
TRIM2,-0.5218505298520384,0.1750086390194724,-1.623309933981191,0.0360188274433607
VNN1,1.085699942760352,0.0181134416731657,-1.879221819318806,0.0201808708438129
