Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
ADRB2,2.165387019204934,0.0835961496591179,-1.491553050179736,0.0454372560791859
ATG4C,-0.7461590532109827,0.1935414527781769,-1.163853395196462,0.0268222992951827
CHMP7,-0.462665767363525,0.157532618118266,1.337695877474974,0.0415773792627487
GABARAPL1,-0.9104864914906816,0.0447843209844019,-1.750635798256774,0.0089774254531035
KDR,-1.079849710798367,0.3092970002238112,-1.855321183284069,0.0418451607338171
LZTS1,-0.7982517455764722,0.1762772151210991,-1.43440671589702,0.0093337979420071
MAPT,-0.5301126292350222,0.3070227759898025,1.265797547802065,0.0409024367231568
MFSD8,-0.5405711872196513,0.1738246715864231,-1.4525142450727,0.012515427147518
TMEM74,0.8947547516777234,0.3072415108719887,-1.383113394484404,0.0499785631253113
TRIB3,2.468451237054543,0.0948587924122586,-1.194891440472149,0.048787300205776
TRIM13,-0.7642966104305042,0.0505755864955582,1.343533732323885,0.0481784659110975
TRIM6,2.27081209067429,0.1612974660981823,-2.081336854809566,0.0210356314028147
ULK1,-0.5691207819019795,0.1094263055861999,-1.343935907223613,0.0480968777229642
