Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
AAAS,1.196060940416556,0.0389809161331232,1.625174595970623,9.8383919205337e-05
AHCTF1,0.6733614170046689,0.1935523912048355,3.091832218239389,0.0009093404397086082
BBS4,-0.7240685163786704,0.0544529133759024,-1.767015495081519,0.0135258374422452
BRIP1,1.994326857505817,0.0341945377675535,1.970662160816547,0.0032217101012776
BUB1B,0.9561593970027946,0.1005134134957508,3.180520130390996,0.0003985007406366961
CALM2,0.6765054714489782,0.2958555090453961,0.1541447828424448,0.0295105628480046
CCNA1,3.12089617836018,0.0143190350461575,2.30245579392615,0.0112214915865522
CCNB2,1.951873959508148,0.0258685478963911,2.619327010866337,0.0004031972383142962
CCNF,1.233805286756605,0.1648281801114429,1.823128409176863,0.010109748526908
CDC20,1.638764975985826,0.0331209661171403,2.866729013673511,2.805228121620348e-05
CDK2AP2,0.6067204838967015,0.0777931372000548,2.331512519282835,0.0030684380044865
CDK5RAP2,1.129264902921406,0.0266528348269986,0.9066515820403849,0.0025763542267294
CENPA,1.262226080175852,0.1315715795730729,2.046152914612948,0.0022047725589258
CENPF,1.827494457312652,0.0345451909486121,3.345337392472302,0.0002513285311733613
CHMP7,-0.462665767363525,0.157532618118266,1.337695877474974,0.0415773792627487
DTX3L,2.01835441994352,0.0357222546323612,-1.846546151874004,0.0420109927276905
ESPL1,1.411734608422281,0.0503323067143546,2.979640224983259,0.0005941045928760608
FLT3L,-0.9891048924611114,0.1627602769565405,-1.215164384121986,0.0285020307468257
GINS3,1.464830650954209,0.0185171115829385,2.068087814413971,0.0022086856696539
GPSM2,0.8361615114855656,0.073659501932471,1.875750777685036,0.0047099953925173
ING2,0.5773397551332948,0.260338308348801,2.077655113717917,0.0061711454818614
IQGAP1,0.8429922337533995,0.0248282781982785,1.705654955827152,0.0445684225799297
IQGAP2,1.591270177303013,0.0084631660857131,-1.638777134949686,0.0177463786172947
KIF2A,0.4790488363031286,0.251443190136117,-1.298385643042049,0.0425811620426383
LARP7,0.9254098825319552,0.0920820738101622,1.872708946437161,0.0015574436051174
LIF,2.994639098743819,0.0142567694208895,-1.251956198359411,0.0261110767908132
LMNB1,1.378247786167261,0.02369825988855,1.468511915223946,0.03150082487798
LSM11,0.8323585901731372,0.2028753859420121,1.827885594262511,0.017610966049716
MAPRE2,-0.5417550829413695,0.1993821172501934,-0.1140615988950898,0.0254170112583239
MNS1,1.127893615878772,0.1607346773774005,3.07651592490675,8.652564132742494e-05
MUC1,1.484699884766452,0.0988782095320425,1.643328089451278,0.0217246542408722
NEK2,1.508921384732487,0.0301730387524996,3.017470413897539,1.112721003846085e-05
NES,1.198390552421856,0.0212885893617171,2.33836483814946,0.0046560660548287
NR4A1,1.518584033126103,0.069562968348531,-1.605058216773056,0.024942939423976
NR4A3,1.75230544296314,0.0651651861378937,-2.215664333529,0.0306416025765473
NUBP1,0.6330459836648306,0.2252000295251406,-2.00741749164059,0.0202702600420772
PLK1,1.150101711610306,0.1169669773741732,2.972519661574066,3.086034471374984e-05
PPP2R1A,-0.5249515875139164,0.1812296340899968,-1.235673404274757,0.0329767362536439
PRC1,1.64221157487323,0.0239597483365445,2.558431421493897,0.0003408639529312177
PUM2,0.5074863444513493,0.2710469281901475,-1.519886345713048,0.0302565967443597
RAD21,1.343629372536828,0.0236892274369109,1.553518999812994,0.0401567828791761
RB1,0.7738254658681267,0.0541987543458328,1.865309897560445,0.0036199067052873
RFWD3,0.9444222054024128,0.0685553127840271,1.918788815186192,0.0046612167709469
RRM1,0.9626282453911852,0.0569599299837336,2.11222852736467,0.0040794174386393
RTTN,0.8973877482190131,0.1879682373857065,-1.678897428060848,0.0422099380830432
SAC3D1,0.6343656975079544,0.2312179182891925,2.094823017869872,0.0038621071904861
TERF1,0.7933532030564301,0.1279611000032841,1.780529146235796,0.0050842772374319
TERT,1.071666128427374,0.1748474172910255,-1.979188290395585,0.0103520915664719
UBE2C,1.1216903660175,0.2440858333967431,3.039811204366357,6.023999025664408e-05
XPO1,0.7473065547594349,0.1264627012218707,2.263869741844275,0.0025305803390464
ZW10,0.535813650516678,0.1901193675920088,1.652448403195695,0.0115712306969947
