Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
BRIP1,1.994326857505817,0.0341945377675535,1.970662160816547,0.0032217101012776
DTX3L,2.01835441994352,0.0357222546323612,-1.846546151874004,0.0420109927276905
FANCF,0.7336894427050868,0.1951161432293892,2.197928886146728,0.0008007218284325775
FANCL,0.968636799347994,0.0815517508815618,-1.479586438894432,0.0211670042292121
KLHL15,0.4776081587029015,0.2610661945318737,-1.22194776788262,0.0381298727560953
NEIL1,-0.6023191945494863,0.1562612951794176,-1.897606750391059,0.0349955082124062
NEIL3,1.910304413909799,0.015010717275339,1.796569900714504,0.0071889562202643
RAD21,1.343629372536828,0.0236892274369109,1.553518999812994,0.0401567828791761
RFWD3,0.9444222054024128,0.0685553127840271,1.918788815186192,0.0046612167709469
RNF168,1.2940435899619,0.0356324420307052,-2.263697085602795,0.0022573529797896
SAMHD1,0.5906422473875086,0.0443776621220288,-1.471068543510877,0.0113821180693792
UNG,1.472535782225754,0.0152069959156793,1.708234572602271,0.0194983202826424
