Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
BAG3,-1.3638921,0.04227,-1.582674061610477,0.0299040611834186
BOK,1.639199,0.01361,1.427406811617181,0.0233512086495875
CCND1,-1.2441441,0.02365,1.862463260851347,0.0115909750601364
CDKN2A,1.9627399,0.01451,2.362612053673109,0.0002199427830036041
E2F3,1.76336665,0.01361,1.525344459992908,0.0002153129311431321
EGLN3,-1.4709307,0.03788,-1.434056274430146,0.0399435913059833
KRT18,2.9782408,0.00596,-1.674905407870415,0.0173136344714927
MAP3K7,1.1194337,0.02635,2.044753074670295,0.0013893783281855
MUL1,1.3009923,0.04641,-1.508398025328722,0.0457084587112118
MYB,2.2038908,0.00655,-1.382188090014567,0.0495738054945796
NLRP1A,1.1958869,0.0177,-1.762171610623542,0.0347371642774956
PERP,-1.6190322,0.01272,-1.464375567407104,0.0226866865595387
RET,1.3857597,0.01597,-1.554842892081211,0.0172319474534928
SH3RF1,1.0603674,0.04834,-1.77131006080022,0.0345413944022828
SOX9,-1.1481657,0.02841,-1.323728631045018,0.0413106324539718
