Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
CCND1,-1.2441441,0.02365,1.862463260851347,0.0115909750601364
CDK5RAP1,-2.3743621,0.0155,-1.479542419472121,0.044673679956317
CDKN2A,1.9627399,0.01451,2.362612053673109,0.0002199427830036041
DACT1,-1.3151773,0.02456,-2.18939835125299,0.0366241152271199
E2F3,1.76336665,0.01361,1.525344459992908,0.0002153129311431321
EPS8,-1.997361,0.02315,-1.611158371230664,0.0350674514566474
FEN1,1.5401907,0.01115,2.28210301849765,0.0067569736039296
MAP3K7,1.1194337,0.02635,2.044753074670295,0.0013893783281855
MYB,2.2038908,0.00655,-1.382188090014567,0.0495738054945796
RBL2,-1.193888,0.02219,1.681735977022125,0.0205175991861524
TNKS,1.1556992,0.01594,3.126273974820888,1.248414028582658e-05
UBE2S,1.1450777,0.02067,2.895784300359149,7.733994863009476e-05
