Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
AURKB,2.5176131,0.02971,1.653113994163559,0.018309604997865
BCL2L11,1.0197078,0.03452,-1.346079059546178,0.0247273325935447
BIRC5,1.883474366666667,0.01727,2.572413919117823,0.0001573703144456925
BLM,1.6397807,0.01637,2.652666761318585,0.0001033796578032776
BUB1,1.7816916,0.02354,3.226993022677618,0.0003138866655243879
CDKN2D,1.3056663,0.01241,2.4287125924183,0.0007833428569646883
CIT,2.4174352,0.02556,2.690291894698556,3.623173069884068e-05
FAIM2,-1.4227064,0.02951,-1.368157310279493,0.0295037107284431
FAS,-1.4465164,0.04201,-1.347360663062983,0.0447546755844009
HMGB2,1.3007854,0.02929,2.270245238635856,0.0016707431084424
KIF14,1.5156423,0.04579,3.001738255299844,1.782242077378943e-05
MBD4,1.6406492,0.01309,-1.630896546922965,0.0240902636380751
MELK,1.7939167,0.02272,1.506094752520434,0.0241801111314818
MYBL2,1.83922085,0.01429,1.972979433048424,0.0030708668707498
RTKN2,2.2786166,0.01073,1.536606283881562,0.0343780888964089
XRCC2,1.8377988,0.02766,2.890532998845596,0.000183549551647011
