Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
ANK3,1.0424274,0.03138,-1.607722548982512,0.0475893126656425
ANLN,1.6689173,0.03856,1.631307776069199,0.0002867393634636419
ASPM,1.6360585,0.03187,2.843568518642131,2.189262839668204e-05
AURKB,2.5176131,0.02971,1.653113994163559,0.018309604997865
BARD1,2.27459965,0.00676,1.761824020417345,0.010710746105565
BCL2L11,1.0197078,0.03452,-1.346079059546178,0.0247273325935447
BIRC5,1.883474366666667,0.01727,2.572413919117823,0.0001573703144456925
BLM,1.6397807,0.01637,2.652666761318585,0.0001033796578032776
BUB1,1.7816916,0.02354,3.226993022677618,0.0003138866655243879
CCNB1,1.58844325,0.02932,2.03192715069859,0.0024074269501786
CDC7,1.91620195,0.01451,2.839424172359373,0.0002329164253616258
CDCA2,2.18691405,0.03395,4.34873001560986,3.716095522564606e-06
CDKN2D,1.3056663,0.01241,2.4287125924183,0.0007833428569646883
CDT1,2.3518979,0.00655,1.464080320219552,0.0473121864951952
CENPH,2.8103676,0.00897,3.109420815530984,2.350449632411001e-05
CENPI,1.6484942,0.02436,1.800604635862505,0.0101247401428444
CENPK,1.47393085,0.00938,2.733028481102689,0.0012913443272733
CENPM,1.0442694,0.03871,2.141766496260138,0.0025879487936761
CEP152,1.6513043,0.03395,2.88329178368001,0.0007735140594311708
CEP72,1.6488218,0.03991,2.696823465616321,0.0009119554458997406
CIT,2.4174352,0.02556,2.690291894698556,3.623173069884068e-05
CKS2,1.1352809,0.0422,2.146418881109642,0.0089172278011066
CLSPN,1.8249911,0.01952,1.505048019189068,2.148620300328173e-05
DDX11,1.2084581,0.0342,3.402816444276547,9.34685929631619e-05
DSN1,1.7243296,0.01498,2.543875838297128,0.0028591410489441
E2F7,1.9061569,0.00956,1.846469735564592,0.0195807592612049
ECT2,2.4543501,0.01858,3.624969164220547,1.522962133807172e-05
EXO1,1.8764493,0.0136,1.287624122616179,0.0045678476782423
EXOC4,1.0332645,0.04887,1.50204624849163,0.0384452298061794
FANCA,2.5282355,0.01289,1.923368554215099,0.0072998026905173
FBXO5,1.8789787,0.02159,1.911845446413261,0.0068388379231627
GMNN,1.9883359,0.00938,1.551267737785834,0.0266320958553281
HMGB1,1.426713066666667,0.01228,2.2894778964786,0.002327843289106
INCENP,1.5881049,0.02352,2.705781951400042,0.0001453387110783803
KIF11,1.8480293,0.03029,2.199726128896946,0.0055810736467909
KIF14,1.5156423,0.04579,3.001738255299844,1.782242077378943e-05
KIF20B,2.0741513,0.02609,2.504187771534266,0.0018517844860968
KIF22,1.5864836,0.02469,3.362735964963528,7.952821751698705e-05
KIF23,1.4144902,0.04426,-2.06887235538868,0.0300675296126328
KIF2C,1.85357325,0.04001,2.744893433319016,0.0048253350751154
KIFC1,2.132061,0.01272,1.464921270461628,0.0319410322361947
LIG1,1.9188887,0.00747,1.560572527688878,0.0479625016823164
MAD2L1,1.6498804,0.01596,2.165750314944522,0.0018644934744638
MBD4,1.6406492,0.01309,-1.630896546922965,0.0240902636380751
MCM3,1.4961211,0.01361,1.914243872947878,0.0221897781383239
MCM5,1.9789391,0.00897,-1.435963453960028,0.0491921542113273
MDM1,2.0033512,0.02315,2.159040988305603,0.0003858105176687468
MKI67,2.02324745,0.02005,1.532678767463946,0.0111545282759639
MYBL2,1.83922085,0.01429,1.972979433048424,0.0030708668707498
NASP,1.6624302,0.00786,1.844710839321344,0.0008925315102059322
NCAPG,1.8956769,0.01361,2.120352873828411,0.0010215922933673
NCAPG2,1.7572133,0.02072,1.757531858319253,0.022057796686063
NCAPH,1.3149284,0.03739,1.459640937320033,0.0003493327211948004
NDC80,2.0503581,0.01594,2.220368537259044,0.0025291056510035
NSL1,2.66732335,0.01314,2.512446425718175,0.0021426703074201
NUSAP1,1.6195475,0.04226,1.437273430820962,0.0344933410997935
OIP5,1.6241161,0.02841,2.611504648525019,0.00063455493918344
PDE4DIP,-1.4647605,0.03846,-1.436939708707467,0.0115483391600237
PKMYT1,2.8319117,0.00501,1.558879718567687,0.0295438787489602
PSRC1,1.8740408,0.01883,2.166941566847905,0.0027221284912496
RACGAP1,1.48452215,0.02365,1.867097054982266,0.0004416558964041245
RAD18,2.23654025,0.01289,2.407878253950354,0.0058767435089971
RAD50,1.3894509,0.03439,2.510334036114719,0.00217312176578
RAD51,2.42800045,0.00897,1.607368325284127,0.0489789456388099
RAD54L,2.3430923,0.01126,2.309720556316935,0.0015626530541571
RBBP8,1.6450218,0.01224,1.449546300031691,0.0229944172057273
RPA2,1.1991968,0.01644,1.987778039380911,0.011954453778224
RRM2,1.6512082,0.01224,2.260315822138022,0.0007722256535243135
SASS6,1.9478114,0.01423,2.46842144525437,0.0002762287281091413
SPAG5,1.7761199,0.02218,2.413096106559417,0.0001368026530582243
SPC24,1.5942151,0.01799,2.506544146987414,0.0050846691854075
SPC25,2.0265389,0.01777,2.003915820784496,0.0003225193552244755
SUV39H1,1.9093812,0.01912,2.105772508526727,0.0002886379788051668
SUV39H2,1.5379122,0.01713,1.962043161017073,0.0113420700559527
TIMELESS,1.9743504,0.00938,2.351542374530895,0.000238502427592586
TOPBP1,1.3183635,0.02258,2.197697092176385,0.0033952175696288
TPX2,1.3404176,0.01893,3.042100227079819,0.0001838902868324278
TTK,2.0488724,0.04127,2.825774155443693,0.0003979285483872062
XRCC2,1.8377988,0.02766,2.890532998845596,0.000183549551647011
