Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind
BARD1,2.27459965,0.00676,1.761824020417345,0.010710746105565
BLM,1.6397807,0.01637,2.652666761318585,0.0001033796578032776
CDC7,1.91620195,0.01451,2.839424172359373,0.0002329164253616258
DEK,1.1683877,0.02764,-1.364747616717371,0.0485655640749591
EXO1,1.8764493,0.0136,1.287624122616179,0.0045678476782423
FANCA,2.5282355,0.01289,1.923368554215099,0.0072998026905173
FANCG,1.9173115,0.02426,2.225224048304625,0.0016692025981765
GINS2,1.3546052,0.01637,2.762268078251187,0.0050359348542044
HMGB1,1.426713066666667,0.01228,2.2894778964786,0.002327843289106
LIG1,1.9188887,0.00747,1.560572527688878,0.0479625016823164
MCM3,1.4961211,0.01361,1.914243872947878,0.0221897781383239
MCM5,1.9789391,0.00897,-1.435963453960028,0.0491921542113273
NUCKS1,1.1258303,0.02374,1.603113562844904,0.0315775551353652
POLQ,2.87485385,0.00938,2.630280664833366,0.0003259096587063709
RAD50,1.3894509,0.03439,2.510334036114719,0.00217312176578
RAD51,2.42800045,0.00897,1.607368325284127,0.0489789456388099
RAD54L,2.3430923,0.01126,2.309720556316935,0.0015626530541571
RBBP8,1.6450218,0.01224,1.449546300031691,0.0229944172057273
RPA2,1.1991968,0.01644,1.987778039380911,0.011954453778224
SUV39H1,1.9093812,0.01912,2.105772508526727,0.0002886379788051668
TIMELESS,1.9743504,0.00938,2.351542374530895,0.000238502427592586
XRCC2,1.8377988,0.02766,2.890532998845596,0.000183549551647011
