Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind,abs_expr,abs_bind
KRT18,2.9782408,0.00596,-1.674905407870415,0.0173136344714927,2.9782408,1.674905407870415
AURKB,2.5176131,0.02971,1.653113994163559,0.018309604997865,2.5176131,1.653113994163559
CIT,2.4174352,0.02556,2.690291894698556,3.623173069884068e-05,2.4174352,2.690291894698556
RTKN2,2.2786166,0.01073,1.536606283881562,0.0343780888964089,2.2786166,1.536606283881562
MYB,2.2038908,0.00655,-1.382188090014567,0.0495738054945796,2.2038908,1.382188090014567
CDKN2A,1.9627399,0.01451,2.362612053673109,0.0002199427830036041,1.9627399,2.362612053673109
BIRC5,1.883474366666667,0.01727,2.572413919117823,0.0001573703144456925,1.883474366666667,2.572413919117823
MYBL2,1.83922085,0.01429,1.972979433048424,0.0030708668707498,1.83922085,1.972979433048424
XRCC2,1.8377988,0.02766,2.890532998845596,0.000183549551647011,1.8377988,2.890532998845596
MELK,1.7939167,0.02272,1.506094752520434,0.0241801111314818,1.7939167,1.506094752520434
BUB1,1.7816916,0.02354,3.226993022677618,0.0003138866655243879,1.7816916,3.226993022677618
E2F3,1.76336665,0.01361,1.525344459992908,0.0002153129311431321,1.76336665,1.525344459992908
MBD4,1.6406492,0.01309,-1.630896546922965,0.0240902636380751,1.6406492,1.630896546922965
BLM,1.6397807,0.01637,2.652666761318585,0.0001033796578032776,1.6397807,2.652666761318585
BOK,1.639199,0.01361,1.427406811617181,0.0233512086495875,1.639199,1.427406811617181
PERP,-1.6190322,0.01272,-1.464375567407104,0.0226866865595387,1.6190322,1.464375567407104
KIF14,1.5156423,0.04579,3.001738255299844,1.782242077378943e-05,1.5156423,3.001738255299844
EGLN3,-1.4709307,0.03788,-1.434056274430146,0.0399435913059833,1.4709307,1.434056274430146
FAS,-1.4465164,0.04201,-1.347360663062983,0.0447546755844009,1.4465164,1.347360663062983
FAIM2,-1.4227064,0.02951,-1.368157310279493,0.0295037107284431,1.4227064,1.368157310279493
RET,1.3857597,0.01597,-1.554842892081211,0.0172319474534928,1.3857597,1.554842892081211
BAG3,-1.3638921,0.04227,-1.582674061610477,0.0299040611834186,1.3638921,1.582674061610477
CDKN2D,1.3056663,0.01241,2.4287125924183,0.0007833428569646883,1.3056663,2.4287125924183
MUL1,1.3009923,0.04641,-1.508398025328722,0.0457084587112118,1.3009923,1.508398025328722
HMGB2,1.3007854,0.02929,2.270245238635856,0.0016707431084424,1.3007854,2.270245238635856
CCND1,-1.2441441,0.02365,1.862463260851347,0.0115909750601364,1.2441441,1.862463260851347
NLRP1A,1.1958869,0.0177,-1.762171610623542,0.0347371642774956,1.1958869,1.762171610623542
SOX9,-1.1481657,0.02841,-1.323728631045018,0.0413106324539718,1.1481657,1.323728631045018
MAP3K7,1.1194337,0.02635,2.044753074670295,0.0013893783281855,1.1194337,2.044753074670295
SH3RF1,1.0603674,0.04834,-1.77131006080022,0.0345413944022828,1.0603674,1.77131006080022
BCL2L11,1.0197078,0.03452,-1.346079059546178,0.0247273325935447,1.0197078,1.346079059546178
