Gene,log2FoldChange,pvalue,padj,baseMean
(+)E1A_r60_1,0.28089300111111115,0.5233452575718083,0.8302811599623583,-0.014600522499999997
(+)E1A_r60_3,0.37965773933333324,0.34741557630847925,0.7030154683067779,0.05033667316666667
(+)E1A_r60_a104,0.4709417525555556,0.2441214313009701,0.7030154683067779,0.14071654908333334
(+)E1A_r60_a107,0.7315613800000001,0.09812130886214299,0.6974972853938733,-0.07477318833333334
(+)E1A_r60_a135,0.16992283444444434,0.7214838458470495,0.9465954362276375,0.030767602499999994
(+)E1A_r60_a20,0.21569697222222223,0.6317660213735484,0.9015280576051521,0.09969838583333333
(+)E1A_r60_a22,0.22459719111111104,0.6262542602941175,0.8983705528687821,0.11030872333333334
(+)E1A_r60_a97,0.2587968066666667,0.5767565522401156,0.8675056653489815,0.06911540166666667
(+)E1A_r60_n11,0.2888794011111111,0.5483586070654874,0.8484087720426527,0.06672668083333332
(+)E1A_r60_n9,0.2462183594444444,0.5769146753379248,0.867558211361464,0.08779192125
(-)3xSLv1,0.4293921766666666,0.2990140200461825,0.7030154683067779,0.09834281583333333
Mif4gd,-0.005219565777777772,0.9906099461201985,0.9998863295798349,0.018545467000000006
Mns1,0.6364702598888888,0.030860834593215127,0.514309459528947,-0.09211977175000001
Opcml,-0.5520551521111111,0.07154813091669036,0.6437596018158094,-0.014372825083333336
Srf,0.4322115533333334,0.19854088939294529,0.7030154683067779,0.077323595
Stx3,0.23499117400000002,0.5844129916575026,0.8722937114760126,0.04152687383333334
Oprm1,0.38921927988888894,0.3441342316532437,0.7030154683067779,0.07147963691666667
Tap1,0.16695185877777793,0.7395757445793324,0.9527376181994313,0.07182308741666665
Zfp407,0.42114729111111116,0.3001435758423742,0.7030154683067779,-0.044722441666666654
A_51_P100519,0.36802710288888885,0.3624746733230992,0.7030154683067779,0.12446876383333333
Prss58,0.4862255555555556,0.21577938983282058,0.7030154683067779,0.019400119999999996
Map3k3,0.61948432,0.027748817403284456,0.4888291009019711,-0.051365336666666664
Krtap9-3,-0.788844093333334,0.49721792257539793,0.8115001322786375,0.71220757
Apon,0.9664110564444444,0.12377649598430766,0.7030154683067779,0.44877521066666665
A_51_P100768,0.019106138111111032,0.96822038487965,0.9998863295798349,0.16191498025
Zfp169,0.16600995911111113,0.7005381772933676,0.9362877815532824,-0.052982845
Snw1,-0.17713324233333338,0.6989234118451746,0.9361726122535093,-0.01163013775
Prdx3,-0.1739365808888889,0.6817771516882235,0.9278201970072899,-0.07290264033333334
Fam26f,0.3215926522222223,0.4366534502426918,0.7629214338171019,0.08209681916666667
Gucy2c,-0.4801605044444444,0.2452646454032277,0.7030154683067779,-0.010065478333333322
Serpinb3c,0.5748314311111111,0.13459083040161074,0.7030154683067779,-0.05940063666666666
Ak8,-0.30567073533333333,0.4293584491524507,0.7566036669248233,-0.02819450583333333
1810031K17Rik,-0.33466381522222227,0.30807229646012274,0.7030154683067779,-0.050930818083333336
Samd14,-0.10125382933333334,0.821779149163623,0.980717315913774,-0.083585502
Psme1,-0.165050925,0.7159511348980977,0.9440988913479694,0.012270926250000001
Gmeb2,0.1070844604444445,0.8109320418565376,0.9769279916420083,-0.08897083966666666
St6gal1,-0.022119679333333347,0.9591004788726838,0.9998863295798349,-0.0138303035
Dsp,0.5699592737777779,0.1832838607733675,0.7030154683067779,0.173612
Hgfac,0.4612435777777777,0.2572625110069206,0.7030154683067779,-0.15264459666666666
Klc4,-0.35163995555555555,0.32278708703689307,0.7030154683067779,0.0719982
Stub1,0.08411375500000001,0.9195703179025639,0.9992412775318189,-0.012795051083333333
1200014J11Rik,-0.0851529961111111,0.8547522721499108,0.9876006332022393,-0.12006318408333333
Smarcd1,0.22804069722222226,0.5592499116107961,0.8567219000185744,0.013055562916666662
Dlg1,0.6124541922222222,0.08933936547194371,0.6799078217153514,-0.07426150249999999
Ccdc85a,-1.2512662661111111,0.06701602137947389,0.635479495550368,-0.31483665625
Olfr495,-3.0997329400000004,0.0013838457313098274,0.22767145291986893,0.6134220783333334
Myog,0.43126255,0.29643438708549996,0.7030154683067779,0.0930401525
Tns1,0.887536126111111,0.11773927974053414,0.7030154683067779,0.03561853458333333
Tyr,0.4415876144444445,0.27658505943339473,0.7030154683067779,0.10361620083333334
Zbtb41,0.054600609555555575,0.9234811519619606,0.9998863295798349,-0.014499743499999995
Samd11,1.1263160122222222,0.14671298483189588,0.7030154683067779,0.37584284583333333
Clcf1,0.8428422522222223,0.15850549916409554,0.7030154683067779,-0.008920867499999997
Ugt2b36,-0.15729527555555567,0.7579922534073497,0.9588472937594584,0.15784386333333333
Jph3,-0.9884580911111112,0.004873596850205356,0.30144908655391844,0.164490455
Metap1,-0.016486273333333305,0.9768999674105874,0.9998863295798349,-0.039309343
Vps33a,-0.6484583682222225,0.01490917727007432,0.40571342179842507,0.07461762383333334
Tmem225,0.60678816,0.11097579450472862,0.7030154683067779,0.06768445333333332
C1qc,0.22362910333333316,0.8296450147967145,0.9828208573867676,-0.05692514249999999
Herpud2,-0.24716663455555554,0.5096696240707369,0.821467266978245,0.04284199075
Muc5ac,0.16139597300000008,0.6965524413412185,0.9352290678050722,-0.12486176025
Hoxa11,0.5439665533333333,0.18495176726616291,0.7030154683067779,0.08849958833333334
Adamts19,0.38661989222222226,0.36536518994211903,0.7030154683067779,-0.08001939416666667
Ttc7,0.2723830547777777,0.46662796033461146,0.7882606748443627,0.07855502774999999
Slc39a4,1.1465530255555558,0.030506128870603222,0.5119717942732107,-0.2744706475
Flrt2,0.4454582984444445,0.25249689320727825,0.7030154683067779,0.027459779166666674
Vwf,-0.42287174800000005,0.6172296411488627,0.8922625589114206,-0.20691239900000002
Spesp1,0.3719992607777778,0.33761195715783293,0.7030154683067779,0.1573023355833333
Cyb561d2,-0.6043432027777778,0.026350637030224295,0.4825509626932971,0.08704551125
Cacna1s,-0.21863354655555547,0.694409022652063,0.9342382630499458,-0.16870808691666667
Gm16486,-0.12700090722222246,0.8911319057328291,0.9958134134838107,0.25437838958333336
Fam162b,0.3650123778888888,0.3863438226841921,0.7170160296891939,0.16847968008333333
Trim8,-0.1473243496666667,0.7832719815996471,0.9682362519888436,0.030610323083333335
Cyp2c29,0.49291600077777775,0.21719868681570764,0.7030154683067779,0.08169134391666667
Ip6k1,-0.32998583177777774,0.28574750903153845,0.7030154683067779,0.0453965675
Myst1,0.004755126111111111,0.9962323088012488,0.9998863295798349,-0.006199280749999999
Sft2d2,-0.33362424888888886,0.4105707731248809,0.7393344724237662,-0.07959798666666666
Fbn2,-0.1730420350000001,0.6783555847296028,0.926673494047144,0.04502975708333333
Ppp1r35,0.1860994218888889,0.6682830766356624,0.9212971965369073,0.02846197308333333
Met,-0.7888687484444444,0.06168024962231858,0.625756592070208,0.00271761666666667
Brp44,-0.35945119011111115,0.24961765652830456,0.7030154683067779,0.03824925408333334
Usp13,0.7336280677777779,0.07565014786118819,0.6541567738675039,-0.0419688325
Fam76b,0.4712555177777778,0.1306574311283287,0.7030154683067779,0.0024890116666666635
Zfp128,0.20209360277777788,0.6445979509782575,0.9089137507034835,-0.15670358958333333
Rpp25,0.6611901233333334,0.2973068666716918,0.7030154683067779,-0.03829607416666666
Dusp10,-0.28309828055555564,0.5407204495184718,0.8426906259396212,0.23377835125
Magee1,-0.5358971527777777,0.16010495580913922,0.7030154683067779,0.18608506541666667
Atrip,0.07923687777777783,0.9208124626037455,0.9995128679873788,-0.011411587333333334
Olfr148,0.42293458266666667,0.31560213272066384,0.7030154683067779,0.09309811933333334
Rnase6,0.5141960783333333,0.2370392879668045,0.7030154683067779,0.13075311941666665
Krtap16-8,0.4272801832222222,0.3014610655050425,0.7030154683067779,0.14017929408333335
Gh,0.5176252764444443,0.149009920371851,0.7030154683067779,0.168151774
Sspo,-0.24042971388888892,0.5876375939492096,0.8742426745500198,-0.06232115208333334
Gpr12,-0.9907259788888887,0.05415040373829966,0.6045034468777952,-0.0880297425
Gtf2h4,-0.07888243299999997,0.897127764787455,0.9966517718447914,-0.024321398083333338
A_51_P104768,0.4518029487777779,0.2884400571833533,0.7030154683067779,0.09682349824999999
Rsph6a,0.18080615644444445,0.67839634499119,0.926673494047144,0.12513184066666666
Alkbh5,-0.06633970666666668,0.8919999720909607,0.9958971119123289,0.035918711666666665
Ept1,-0.2941426193333333,0.3913324519828318,0.7216065878925004,-0.0332055085
Itpr3,0.22226820955555557,0.5774562205298822,0.8680089412068828,0.07996344316666666
Trub2,0.05533885644444445,0.9344418334122695,0.9998863295798349,-0.010229667000000003
Klra5,0.24390273022222225,0.5649140034705132,0.8605225679197718,0.11865925333333334
Rad52,-0.060451347888888896,0.9507004674159616,0.9998863295798349,-0.00260206025
Lypd6b,0.036269028888889054,0.9462470005529162,0.9998863295798349,-0.3382424116666667
P2ry6,-0.15784252222222228,0.8446303435831565,0.9856142422904197,0.04093941499999997
Cpne4,-1.0029213944444448,0.2205861154540712,0.7030154683067779,0.21303927083333332
Nat14,-0.6721413505555556,0.014548836524036652,0.4024227748529564,0.16124793375
2010005H15Rik,-0.20427635088888896,0.620528294414221,0.8944887749464021,0.1227964135
Alg14,-0.125267928,0.7987350732113395,0.9735469784148708,-0.024346072666666663
Nomo1,-0.2428321876666667,0.5218266144727138,0.8293814705331524,-0.014785926416666664
Eci1,-0.39493868555555556,0.3589819074703493,0.7030154683067779,0.038461922499999995
Trip13,1.26458124,0.01264758261236839,0.3878085803631813,-0.06790256
Col6a6,0.39779594288888886,0.3352221415655227,0.7030154683067779,0.11683014716666666
Lax1,0.3991973144444444,0.3322187403078632,0.7030154683067779,0.14877895583333334
Rasl12,-1.7218222944444446,0.005273808047697815,0.31360890175203043,0.16074457916666665
Traf4,-0.5981302271111111,0.025393244506230265,0.4750425940672618,0.05288306966666667
Zfp64,-0.20466942100000002,0.6238778007610172,0.896855774474093,-0.004810252416666665
Cmtm2b,-0.10948938399999997,0.8097701632243399,0.9765831198532482,0.13076976866666665
Camk1,-0.6632367244444445,0.03709943696259034,0.5397462300913336,0.11816406333333333
Prkd3,0.4498546922222222,0.1618091619075255,0.7030154683067779,0.0485597875
Nsmce4a,0.7533727177777779,0.025132508278266446,0.47322703355619966,-0.003008608333333334
Nr0b1,0.611785476111111,0.14724504048559675,0.7030154683067779,0.01982752708333336
Speg,-0.40085284266666676,0.24878620242641925,0.7030154683067779,0.056336083333333335
Fam195a,-0.63727257,0.08900081057748924,0.6799078217153514,-0.05702706416666666
Celf3,-1.0532225633333332,0.04274026202394717,0.5638832837981979,-0.09401679583333333
Rnmt,-0.24036153999999998,0.5355694205745657,0.8390318430164548,4.2756499999999895e-4
Pparg,0.009888330666666681,0.9870041503274718,0.9998863295798349,-0.055350541999999996
Lsm10,-0.2554034161111111,0.4840538233175201,0.801789434415048,0.04212069658333333
Rbm26,0.16743755122222223,0.7467448241760316,0.9553247912704346,-0.03161374658333333
Kif5a,-0.36209678555555563,0.24322880244495493,0.7030154683067779,0.013676960833333338
Ubqln3,0.5893075813333334,0.19097802969011365,0.7030154683067779,0.201783345
BC031181,-0.6019348644444444,0.043555068579240255,0.5677192877445918,0.06989065833333333
4930443G12Rik,0.5185375725555555,0.14663028351252086,0.7030154683067779,0.12464431941666666
Abcf1,0.15800317000000003,0.7511374149858706,0.956792723102042,-2.9326500000002576e-5
Slc5a8,0.430721764,0.28590784820436527,0.7030154683067779,0.16655894466666668
Socs2,0.06474685666666667,0.8806933515134014,0.9931039689033303,0.024405795833333327
Mrpl34,-0.6254850999999999,0.015256271587166562,0.4073584425633512,0.05684312166666666
A_51_P107722,0.5650813274444444,0.18862949495458786,0.7030154683067779,0.22835830558333334
Kdsr,-0.27072646777777776,0.45033077369429714,0.7747847755694695,-0.0207469875
Olfr586,0.4915881144444445,0.22124990633507238,0.7030154683067779,0.09343524583333333
