Gene,log2FoldChange,pvalue,padj,baseMean
Mns1,0.6364702598888888,0.030860834593215127,0.514309459528947,-0.09211977175000001
Map3k3,0.61948432,0.027748817403284456,0.4888291009019711,-0.051365336666666664
Olfr495,-3.0997329400000004,0.0013838457313098274,0.22767145291986893,0.6134220783333334
Jph3,-0.9884580911111112,0.004873596850205356,0.30144908655391844,0.164490455
Vps33a,-0.6484583682222225,0.01490917727007432,0.40571342179842507,0.07461762383333334
Slc39a4,1.1465530255555558,0.030506128870603222,0.5119717942732107,-0.2744706475
Cyb561d2,-0.6043432027777778,0.026350637030224295,0.4825509626932971,0.08704551125
Nat14,-0.6721413505555556,0.014548836524036652,0.4024227748529564,0.16124793375
Trip13,1.26458124,0.01264758261236839,0.3878085803631813,-0.06790256
Rasl12,-1.7218222944444446,0.005273808047697815,0.31360890175203043,0.16074457916666665
Traf4,-0.5981302271111111,0.025393244506230265,0.4750425940672618,0.05288306966666667
Camk1,-0.6632367244444445,0.03709943696259034,0.5397462300913336,0.11816406333333333
Nsmce4a,0.7533727177777779,0.025132508278266446,0.47322703355619966,-0.003008608333333334
Celf3,-1.0532225633333332,0.04274026202394717,0.5638832837981979,-0.09401679583333333
BC031181,-0.6019348644444444,0.043555068579240255,0.5677192877445918,0.06989065833333333
Mrpl34,-0.6254850999999999,0.015256271587166562,0.4073584425633512,0.05684312166666666
Gpsm2,0.9072216744444443,0.0024618436122761742,0.26106246189918675,-0.14489730083333333
4931409K22Rik,0.9726427033333335,0.027340301817207487,0.4874286698081524,-0.09264834916666666
Os9,-0.5351603888888888,0.042609289853195266,0.5638832837981979,0.082819225
Pcdhb3,-0.7582570777777777,0.02332923872860813,0.46581977692206655,-0.01787491833333334
Ltb4r1,-0.8611436441111114,0.011950950074900322,0.3830755433906781,0.001662333583333328
A_51_P109881,1.120276188777778,0.004865681049976281,0.30144908655391844,-0.10114682508333332
Slc1a1,-1.1302910911111113,0.0014178803342209682,0.2284718001865918,0.04336984833333333
Pck2,0.6551014666666666,0.04773861010381548,0.5848461123019405,-0.13188894666666667
Arl15,-0.8656484720000002,0.016607890315918274,0.41746826983563406,0.020079296000000007
Nudt19,-0.7683467882222225,0.041540579829306486,0.5589330217305816,0.2094459555
Bean1,-1.2567776806666668,0.021785848799571305,0.4551614645898159,-0.018167693833333318
Cenpq,0.9740653395555556,0.0055892378835924,0.31705563155705696,-0.07646242533333335
Kifc3,-0.7370443262222226,0.007840378448834957,0.3444989745960085,0.122924642
2210012G02Rik,-0.9562562144444445,0.015272721257183583,0.4073584425633512,0.033434709166666673
Prss37,0.8921807500000001,0.038308855482046246,0.5452866469749805,-0.09643602750000001
Apol8,1.1274555755555558,0.03449714340946837,0.5273152159594908,-0.15499405166666666
A_51_P116665,1.4173022444444447,0.00156518177476818,0.23695380495657664,-0.35003741666666666
Rapgef3,-1.20011796,0.011141278038637507,0.3769953687749478,0.22369559666666666
Bik,1.6033746163333336,0.007755403443999945,0.3430226760358784,-0.02875033775
Ahctf1,0.5674147055555556,0.048775639035762895,0.5886653322220056,-0.039865470833333326
March1,-1.2280278266666664,0.002279441706438354,0.25362418038171886,0.34324641666666666
Fam132b,1.1297942607777776,0.001328882930792596,0.22578695902575102,-0.26027420775
Cenpo,1.0929392177777777,0.011556949439885862,0.3798487932688603,-0.10012527666666668
Ercc6l,1.0354300455555558,0.012413043844258276,0.3849564453871051,-0.10880706583333333
Bub1,1.4140575288888888,0.0017547309994616904,0.2413494566705565,-0.21233105333333332
Ppwd1,1.152386711111111,0.007933899538321808,0.3444989745960085,-0.06360947666666665
Cdca5,1.3783836444444446,0.00273062673836556,0.26106246189918675,-0.15422026666666666
Cdca4,0.9769746092222225,0.02010490797462002,0.44077861819981756,-0.015142046416666655
Fgf12,-0.964888187777778,0.03754713844672954,0.5415431175540162,0.049125552499999996
Scn2a1,-1.1005842484444446,0.003593690382453575,0.2791301527981072,0.09604891366666667
Rnasek,-0.6965518593333334,0.012499826190204743,0.38609035729118796,0.0742378255
Chmp1a,-0.5738079204444446,0.029576501940788594,0.504593515465839,0.019901671666666673
Nr4a3,-2.1813055555555554,0.006205058611885023,0.3226644580655576,0.19440570000000004
Lynx1,-1.2481547500000003,0.005046520874486233,0.30655673342936757,0.039239337500000006
Gatad2a,1.1456439811111112,0.0012414739065160214,0.22281635090356866,-0.014431080833333337
4930474N05Rik,-1.0110926596666667,0.01571254639112607,0.41113975762333527,0.011534411916666666
Kif20a,1.5126514411111114,0.002950616656554801,0.2696877284353387,-0.19610181916666666
Cdt1,1.6671279288888887,0.01476723309814951,0.40531267371380547,-0.04361908666666667
Bai3,-0.7057308588888889,0.0429471186434345,0.5651551057995898,0.13926505916666668
Oas1e,0.9033568144444446,0.003934206346535809,0.2852741805486515,-0.15744729916666667
Ube2v2,-0.64172691,0.042427559045484224,0.5636280253696999,0.04177999416666667
Olfr921,-0.7870023660000003,0.02866113530127081,0.4981007602863899,0.09541368883333334
Krtap31-1,1.121614718666667,0.028102664504855056,0.49317053687742307,-0.20769862100000003
Zw10,0.7934258788888889,0.015279165592916883,0.4073584425633512,-0.11859051416666666
Chek2,0.8582304785555556,0.026272660930082674,0.4822761584492396,-0.14665047241666665
5730507C01Rik,1.0437174277777777,0.04807905416626142,0.5863704203124277,-0.2685645825
Foxo1,-1.5519707722222225,0.007891094780409598,0.3444989745960085,0.12440395416666668
1700029H14Rik,1.039487511777778,0.020243706502296618,0.442592885516712,0.10904240716666666
Islr,-1.889401695555556,0.02258866541178843,0.46281355291557436,0.17422766166666664
Slitrk1,-0.7983361811111112,0.028738626644333423,0.49867285600014766,0.027084390833333333
Filip1l,-1.2716198144444444,0.02291805451126343,0.46295446720718014,0.029915339166666666
Fancm,0.8353011255555557,0.023902593670507153,0.46581977692206655,-0.1549782325
Myh8,-0.9329611322222222,0.024604770530956818,0.47087558956983405,0.06455023416666666
Klhl26,-0.7430576865555556,0.016868598780379516,0.4183772756553299,0.014590661750000015
Epo,1.3528154611111107,0.04493158547692263,0.5719289660078304,0.39617892250000003
Zfp318,-0.8054016563333335,0.03454516198931082,0.5273152159594908,0.20269477441666667
Astn1,-0.6668424533333331,0.03640351844294965,0.5355100886882965,0.10388446
Dtx4,-1.235534248888889,0.002064824526880113,0.25314146242422425,0.04296669000000002
Neto1,-1.3073762844444443,0.01526508738687064,0.4073584425633512,0.039803703333333336
1600014C23Rik,-1.4548019,0.04664278123709049,0.578594009554869,0.567240475
Rad51,1.6900754555555553,0.010514322944064793,0.36939366780068345,-0.12961984166666668
Sdf2,-0.5485530411111111,0.0421712162028884,0.5629128540483884,0.08560355583333333
Phospho1,1.4659097900000002,0.005201014255332874,0.312575415330013,0.01888660916666668
Igj,1.0035839522222223,0.026818381190954838,0.48374773016210676,0.1371161575
Lypd3,-1.2024867122222225,0.00433572491647526,0.2901628785203825,0.04828639916666668
Fam184a,0.6632793211111113,0.04717680952435447,0.5822995698871949,0.01632412750000001
Atp1b1,-1.1086363266666668,0.0027215088651371053,0.26106246189918675,0.12310512833333333
Gsg2,1.7119920633333336,0.005738469166610632,0.31755085824097506,-0.13033111916666668
Spon1,-1.6809161155555556,0.04263414582051156,0.5638832837981979,-0.00472906666666667
4930465K10Rik,1.0045163794444447,0.0413967768387863,0.5583672808218353,0.10220050458333332
Tmem150c,-0.8791738618888888,0.006711008804866889,0.3318840599363843,0.05980193691666667
Cdca8,1.1045503600000002,0.0030419209305301304,0.272027854662436,-0.17291569666666667
Gsto1,-1.0274529922222224,0.014226609705070491,0.40175841199641465,0.005586865833333343
Wipi1,-0.9204378222222221,0.04088059895125213,0.5569946340890926,-0.18637108666666666
Mcm2,1.1422133911111112,0.018659745672293726,0.4312259317239466,-0.04857699000000001
Ocrl,1.058295555555555,0.030855860127000652,0.514309459528947,-0.19104353333333335
Crybg3,1.0826271422222224,0.04721178381747858,0.5825491512603568,0.12358518999999998
1700026D08Rik,-1.1422819138888891,0.03969885497320911,0.5522926379951764,0.10275916791666666
Cspg4,-1.3140571547777777,0.034414854186388275,0.5271196224498336,-0.12854599608333334
Scg3,-0.6341158506666666,0.017605720526153085,0.42520958896993843,0.07622098533333332
Eda2r,1.1143400488888888,0.013782229832087621,0.397209443713584,-0.08654356333333332
Tsx,2.0579057022222225,4.573938890277217e-4,0.2116043124877084,-0.3087394233333333
Cenpe,1.2910579922222223,0.0032965599911128412,0.27259114885906394,-0.1940488725
Tmem191c,-0.9270226744444446,0.04555689614646873,0.5729574836064444,0.015945310833333323
Hirip3,1.0552500622222223,0.005757918239941207,0.31755085824097506,-0.16658123333333333
Osbpl1a,-0.8830767888888891,0.013820431941706637,0.397209443713584,-0.027009485000000017
Kcnj4,-1.2388247884444445,0.016614429170805144,0.41746826983563406,-0.20343005800000002
Prim1,1.331739526666667,0.02127497171073731,0.4500581713439054,-0.02003391166666667
Mast4,-1.1208227255555556,0.016219868419935727,0.4140666327565688,0.13387945916666666
Tdp2,0.8148711481111112,0.003972496986850483,0.2852741805486515,-0.10676693891666668
Ppp1r3d,-0.6468427533333335,0.03879494595515899,0.5476647983694862,0.086193555
Gpr17,-2.5058457966666676,0.011694225482102864,0.3803513123235845,0.2828764858333333
Tmem35,-0.7526237672222222,0.0381843945501141,0.5443107218639497,-0.015064955416666666
1110058L19Rik,-0.6206879056666665,0.028863415731769846,0.4994120622369383,0.19316530408333332
Arhgdig,-1.1824620548888887,0.010679877787539408,0.37337606891560937,-0.04865853450000001
Hal,1.9909525311111107,0.04053414936539743,0.5550818933576049,0.3693380116666667
Cxcl12,1.456589585555556,0.007417220552250398,0.34054529477396156,0.13497416583333333
Kcnh8,0.746892927777778,0.04909670426869825,0.5886982593530369,-0.2638007041666667
Cenpj,0.8645955344444445,0.029104350711008253,0.5006489481376288,-0.10215179583333332
Hlcs,-0.6343962897777777,0.02373544113632267,0.46581977692206655,0.10475122933333333
Kif26b,-0.8211239588888888,0.02749643166266734,0.4888291009019711,0.09322436416666667
Eid3,1.1625680777777778,0.02297114299752739,0.46295446720718014,-0.23298224166666667
Gbx2,1.3468881777777781,0.017094783039822578,0.4200295633649001,0.16422966666666666
Dcxr,-1.0236356577777779,0.0022931197263840355,0.25362418038171886,0.13134590666666665
Eml3,0.5330648484444445,0.04497985071493678,0.572017348127026,-0.09967017366666667
5330417C22Rik,-0.8804755744444444,0.009850554498734733,0.3652104642089586,-0.00283567416666667
Csdc2,-0.71463076,0.022986588395628043,0.46295446720718014,-0.01837936999999999
Bcor,0.7994845577777776,0.028268259843884844,0.4942564402050235,-0.095663465
Zfp101,0.596982735,0.03883729183097261,0.5478998666970715,-0.039527892083333335
Phpt1,-0.5969253017777778,0.02374312413065352,0.46581977692206655,0.110053697
A_51_P186798,1.5864852066666666,0.013086593509587515,0.39354466468093147,-0.13751942833333333
G6pdx,-0.5466359532222224,0.023795917863751976,0.46581977692206655,0.07839743508333334
Nhedc1,1.2531589955555558,0.010329246675592258,0.3687212855087182,-0.08855168000000002
Tmcc3,-1.3338921938888895,0.018236144465940074,0.42742258371111236,0.16126585458333337
Dad1,-0.5566231361111111,0.019143634253206133,0.4337306790263442,0.14141964791666667
Mcm5,1.3052731611111112,0.03657415281643224,0.5358963992224616,-0.02283357583333334
Ndc80,1.5528164433333334,0.0013666729949893502,0.22578695902575102,-0.2083794675
Chgb,-0.9569315299999998,0.0026165085957692235,0.26106246189918675,0.18835599916666668
Efcab6,-1.3252382947777779,0.012008503651894037,0.3833040918421889,-0.08209780708333334
Rem2,1.0632970122222225,0.04261554864919084,0.5638832837981979,0.17949306916666666
Pinx1,0.8699406588888888,0.013313795093820758,0.39529608409984196,-0.18382183916666667
Sec14l4,1.3428171144444443,0.014298597068608462,0.4018902330876513,-0.2453660975
Esco2,1.8362592411111114,8.490739207023212e-4,0.2149019339907676,-0.3091570025
Gtse1,1.3445794899999994,0.0012770376433776198,0.2229108108783872,-0.18230294916666667
Cx3cl1,-1.3299873533333337,0.0017452973563517416,0.2413494566705565,0.19988747166666668
Chaf1a,1.3869396766666666,0.00855300560846151,0.3524321190648987,-0.0681404225
1810046J19Rik,-0.7369629655555557,0.017079106563653523,0.41990568036479414,-0.011348644166666672
BC055324,1.3847587133333334,0.0047949297554865265,0.29909605275732304,-0.239030915
Fto,-0.8855680821111112,0.002183811226595562,0.25362418038171886,0.22308341508333332
Wdhd1,1.1504342555555558,0.013439776797736351,0.39661404100046327,-0.051616828333333344
Lbr,0.8721200100000001,0.011899439863565427,0.38261350408215056,-0.1134739725
Tubgcp3,0.5941565766666668,0.03707892276365458,0.5396466145679694,-0.031175054166666664
Morn5,-1.282278817777778,0.04462387081064191,0.5708834229643983,0.14417592
Ndufb5,-0.5697538600000001,0.04694972195230222,0.5813138197825818,0.09316476166666667
Ncapd2,1.2414026255555557,0.007341767884045351,0.33897525710671766,-0.1739542475
Mbd4,1.1409964566666666,0.010678161837036864,0.37337606891560937,-0.11476623749999999
Tmem63c,-1.1273789803333334,0.008223228379285807,0.35031114964816373,0.029335264750000006
Shcbp1,1.3987648244444448,0.005244347392944224,0.3132780962712577,-0.08278536500000001
Phf19,0.9341681907777778,0.0013935651757112232,0.22771755726967863,-0.14423911025
Mlf1,1.679057966666667,0.01776927504601321,0.42520958896993843,0.10519950833333334
Fezf2,0.7537315021111108,0.018473945478800234,0.4293371025488094,-0.11087997341666667
Sypl2,1.8211665166666664,0.009379623075303933,0.3599168290849133,-0.4591022458333333
1110008P14Rik,-0.6628559933333336,0.009233474562187574,0.3597555774325699,0.10285011833333334
Fmod,1.1406632481111112,0.0069108142398944345,0.33288419448998774,-0.05530381724999999
Pmel,-1.3389177592222223,0.032173448628538034,0.5189414293700263,-0.30131189608333336
Chtf18,1.2910827111111116,0.0046617547949544215,0.2977993747428456,-0.24669496666666665
Stc2,-1.3552001744444446,0.042301623692951186,0.5636280253696999,0.06511180249999998
Cxcl14,-1.8432999100000003,0.046158676761622414,0.5750413027021988,-0.4493824225
Cramp1l,0.941675787333333,0.034293258359494275,0.5271196224498336,-0.15175863283333332
Syne2,1.1780453555555555,0.015352859599093101,0.4075937158611127,-0.21804864999999998
2610306M01Rik,-0.7654260953333335,0.015183124017304045,0.4073584425633512,0.12324515750000001
Atp6v0e2,-0.6990322508888891,0.006687273731731842,0.3317173408259193,0.17398786516666667
Scn2b,-0.7274625604444445,0.015556242728712977,0.4092193498622464,0.15166624299999998
Hdac11,-0.8355844292222223,0.04343860449731484,0.5675623092576031,0.061360988083333345
Has2,-1.4314617588888892,0.012949791700942978,0.3918180270587996,0.10295200083333336
Nap1l3,-0.8829255611111112,0.01767449713334275,0.42520958896993843,0.09216800916666666
Stk17b,0.6314556726666666,0.018333777574788275,0.42876940905724675,-0.1460692455
Epha1,0.6938953012222224,0.03562607797405103,0.5326375194265071,-0.19330188075
Haus4,1.2066650433333332,0.001317151373760051,0.22578695902575102,-0.17545875083333334
