Gene,bind_logFC,expr_fong,adjP_fong,expr_map2,adjP_map2,sign_concordant,delta_abs_expr
AURKB,1.653113994163559,1.45080420479075,0.0341945377675535,1.623013604444445,0.4179738076010212,True,0.17220939965369508
BCL2L11,-1.346079059546178,0.8817895774690054,0.0330177860962086,1.247095141888889,0.3506005136639701,True,0.3653055644198835
BDNF,-1.877829628348426,2.857730779568754,0.0599727519325547,-1.268290404666666,0.5730606631443309,False,1.589440374902088
BIRC5,2.572413919117823,1.572063223313299,0.0531539987993039,1.491343254074074,0.2229108108783872,True,0.08071996923922486
BLM,2.652666761318585,1.015237019961631,0.0211181114722254,1.239867755555556,0.3350636596997103,True,0.224630735593925
BUB1,3.226993022677618,1.18996797987125,0.0447250024563442,1.414057528888889,0.2413494566705565,True,0.2240895490176391
CDKN2D,2.4287125924183,1.179978532238442,0.057729051107103,0.8325625488888888,0.5899943947082993,True,0.34741598334955315
CIT,2.690291894698556,1.812250070280402,0.0249136553190315,1.718534735555556,0.2878007769749082,True,0.09371533472484606
CXCL12,-1.61164518525513,-1.272349811717579,0.1287687959411371,1.456589585555556,0.3405452947739615,False,0.18423977383797685
FAIM2,-1.368157310279493,-2.297891090638925,0.0185682424175194,-1.42527085,0.23490455046642,True,0.8726202406389252
FAS,-1.347360663062983,1.236312060098006,0.2138038658411628,-1.244788658888889,0.4677636468608734,False,0.008476598790883028
HMGB2,2.270245238635856,1.436564256400745,0.1043210274223166,1.138682276666666,0.2410013923269574,True,0.29788197973407904
KIF14,3.001738255299844,2.128421461063765,0.0090470997504832,1.344396075,0.2116043124877084,True,0.7840253860637649
MAPT,1.265797547802065,-0.5301126292350222,0.3070227759898025,-0.8725277034444443,0.3506005136639701,True,0.3424150742094221
MBD4,-1.630896546922965,0.6525667368896535,0.0745870808618195,1.140996456666667,0.3733760689156093,True,0.48842971977701355
MELK,1.506094752520434,1.451048044110843,0.0390112743629545,1.335859515555556,0.3430226760358784,True,0.11518852855528716
MYBL2,1.972979433048424,1.546004594967348,0.0502467198410137,1.302147323333334,0.4017278683188246,True,0.24385727163401394
NR4A3,-2.215664333529,1.75230544296314,0.0651651861378937,-2.181305555555555,0.3226644580655576,False,0.429000112592415
RFFL,-1.502922894659618,-0.8946652625910172,0.0599727519325547,-0.7319486166666668,0.4337306790263442,True,0.16271664592435042
RTKN2,1.536606283881562,1.466095135734616,0.0211122427389509,1.839584025555556,0.1772821972161955,True,0.3734888898209401
SLC1A1,-1.579424852769362,-1.092305576542954,0.2362294707546224,-1.130291091111111,0.2284718001865918,True,0.03798551456815713
XRCC2,2.890532998845596,1.297712489734822,0.0420266888179954,1.034951162277778,0.299096052757323,True,0.26276132745704395
