Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind,abs_expr,abs_bind
ITGA1,2.324746885333333,0.4022993315465296,1.688308534184227,0.0480279007478522,2.324746885333333,1.688308534184227
NR4A3,-2.181305555555555,0.3226644580655576,-2.215664333529,0.0306416025765473,2.181305555555555,2.215664333529
RTKN2,1.839584025555556,0.1772821972161955,1.536606283881562,0.0343780888964089,1.839584025555556,1.536606283881562
KRT18,1.739974016666667,0.4464638395078089,-1.674905407870415,0.0173136344714927,1.739974016666667,1.674905407870415
CIT,1.718534735555556,0.2878007769749082,2.690291894698556,3.623173069884068e-05,1.718534735555556,2.690291894698556
AURKB,1.623013604444445,0.4179738076010212,1.653113994163559,0.018309604997865,1.623013604444445,1.653113994163559
BIRC5,1.491343254074074,0.2229108108783872,2.572413919117823,0.0001573703144456925,1.491343254074074,2.572413919117823
MYB,1.487309266666667,0.4180033565780889,-1.382188090014567,0.0495738054945796,1.487309266666667,1.382188090014567
CXCL12,1.456589585555556,0.3405452947739615,-1.61164518525513,0.047773960366142,1.456589585555556,1.61164518525513
FAIM2,-1.42527085,0.23490455046642,-1.368157310279493,0.0295037107284431,1.42527085,1.368157310279493
BUB1,1.414057528888889,0.2413494566705565,3.226993022677618,0.0003138866655243879,1.414057528888889,3.226993022677618
E2F3,1.409458967777778,0.4140666327565688,1.525344459992908,0.0002153129311431321,1.409458967777778,1.525344459992908
KIF14,1.344396075,0.2116043124877084,3.001738255299844,1.782242077378943e-05,1.344396075,3.001738255299844
MELK,1.335859515555556,0.3430226760358784,1.506094752520434,0.0241801111314818,1.335859515555556,1.506094752520434
MYBL2,1.302147323333334,0.4017278683188246,1.972979433048424,0.0030708668707498,1.302147323333334,1.972979433048424
TBX1,1.286138598888889,0.4717150152014093,-1.848831408495594,0.0199897714315632,1.286138598888889,1.848831408495594
BDNF,-1.268290404666666,0.5730606631443309,-1.877829628348426,0.0289314931805171,1.268290404666666,1.877829628348426
BCL2L11,1.247095141888889,0.3506005136639701,-1.346079059546178,0.0247273325935447,1.247095141888889,1.346079059546178
FAS,-1.244788658888889,0.4677636468608734,-1.347360663062983,0.0447546755844009,1.244788658888889,1.347360663062983
BLM,1.239867755555556,0.3350636596997103,2.652666761318585,0.0001033796578032776,1.239867755555556,2.652666761318585
PRKCQ,-1.219642041111111,0.5355100886882965,-1.483744995347992,0.0401238598427463,1.219642041111111,1.483744995347992
PERP,-1.147274328888889,0.2976987286204434,-1.464375567407104,0.0226866865595387,1.147274328888889,1.464375567407104
MBD4,1.140996456666667,0.3733760689156093,-1.630896546922965,0.0240902636380751,1.140996456666667,1.630896546922965
HMGB2,1.138682276666666,0.2410013923269574,2.270245238635856,0.0016707431084424,1.138682276666666,2.270245238635856
SLC1A1,-1.130291091111111,0.2284718001865918,-1.579424852769362,0.04184958417778,1.130291091111111,1.579424852769362
KLF4,1.047324373888889,0.3330809593819589,-1.501260621497925,0.0270530081599879,1.047324373888889,1.501260621497925
XRCC2,1.034951162277778,0.299096052757323,2.890532998845596,0.000183549551647011,1.034951162277778,2.890532998845596
GPAM,-0.8891627988888888,0.523033264027913,-1.813642309030504,0.0468440212067946,0.8891627988888888,1.813642309030504
MAPT,-0.8725277034444443,0.3506005136639701,1.265797547802065,0.0409024367231568,0.8725277034444443,1.265797547802065
CDKN2D,0.8325625488888888,0.5899943947082993,2.4287125924183,0.0007833428569646883,0.8325625488888888,2.4287125924183
RET,0.8325332566666668,0.5899943947082993,-1.554842892081211,0.0172319474534928,0.8325332566666668,1.554842892081211
SH3RF1,0.7475614466666669,0.5706785048928311,-1.77131006080022,0.0345413944022828,0.7475614466666669,1.77131006080022
RFFL,-0.7319486166666668,0.4337306790263442,-1.502922894659618,0.0143547101102917,0.7319486166666668,1.502922894659618
PRKD2,0.655271636888889,0.3834962535753109,2.253925684805304,0.0188173497567123,0.655271636888889,2.253925684805304
PTPN5,-0.6525302672222223,0.5899943947082993,-1.544349080435816,0.0361675750090345,0.6525302672222223,1.544349080435816
UBE2V2,-0.64172691,0.5636280253696999,-1.828946467104147,0.0387018123967015,0.64172691,1.828946467104147
STAMBP,-0.5589319855555556,0.5636280253696999,-1.739811840680812,0.0129966669213451,0.5589319855555556,1.739811840680812
