"Gene","log2FoldChange","pvalue","padj","baseMean"
"(+)E1A_r60_1",0.203892063333333,0.696427640687976,0.932065451233936,-0.123324241666667
"(+)E1A_r60_3",0.153005914,0.729173853103106,0.932065451233936,-0.157903674333333
"(+)E1A_r60_a104",0.214373909666667,0.622198966040566,0.932065451233936,-0.1053028105
"(+)E1A_r60_a107",0.379796963333333,0.500748917805771,0.925615421542103,-0.433545741666667
"(+)E1A_r60_a135",0.0758611366666666,0.892716743280042,0.977060760192809,-0.058743955
"(+)E1A_r60_a20",0.208312356666667,0.690350493183529,0.932065451233936,0.042081835
"(+)E1A_r60_a22",0.237054823333333,0.659460278417454,0.932065451233936,0.0603882416666667
"(+)E1A_r60_a97",0.198638293333333,0.719199399380858,0.932065451233936,-0.0256630566666667
"(+)E1A_r60_n11",0.162281683333333,0.782237056409817,0.935018537653397,-0.0687920283333333
"(+)E1A_r60_n9",0.237230928333333,0.639642912440645,0.932065451233936,0.0217436158333333
"(-)3xSLv1",0.170709131666667,0.706636345887212,0.932065451233936,-0.138346750833333
"Mif4gd",-0.114413576666667,0.805165829521153,0.943886134393526,-0.034746647
"Mns1",0.704676621666667,0.0227568966200872,0.173015853126777,-0.217134155833333
"Opcml",-0.501611077333333,0.135227897050835,0.459166434898348,0.148863000333333
"Srf",0.0416723833333333,0.945716158807147,0.990295676317141,-0.225998878333333
"Stx3",0.0352875233333333,0.942414541770744,0.989877027264514,-0.117072745
"Oprm1",0.153377540666667,0.7344169492968,0.932065451233936,-0.143746052666667
"Tap1",-0.0455020333333332,0.947152724370346,0.990517404586505,-0.0761418233333334
"Zfp407",0.747528713333333,0.053921136498694,0.277295659631536,0.0131814466666667
"A_51_P100519",0.16870895,0.711478377279122,0.932065451233936,-0.0671970883333333
"Prss58",0.280822916666667,0.506298263787562,0.929822648634971,-0.204857588333333
"Map3k3",0.459192276666667,0.130400799537046,0.45035210091142,-0.286382438333333
"Krtap9-3",-1.80030870066667,0.156965072951163,0.501562500384781,0.403686289666667
"Apon",1.60130564833333,0.000352316461430166,0.0248349563216809,0.5246197425
"A_51_P100768",-0.239205343,0.688204638112841,0.932065451233936,0.0279827051666667
"Zfp169",0.535894077666667,0.0604722915452754,0.294683755999639,0.0904567245
"Snw1",-0.172753651666667,0.718006338586981,0.932065451233936,0.0348429681666667
"Prdx3",-0.424073542,0.110029669022108,0.40889613942004,-0.154486975666667
"Fam26f",0.140019103333333,0.751634836868593,0.932065451233936,-0.0890881183333333
"Gucy2c",-0.120257223333333,0.791215144087269,0.937633394048068,0.289926288333333
"Serpinb3c",0.823282716666667,0.0457396326219693,0.254298703756471,-0.0788828516666666
"Ak8",-0.191548982333333,0.654159472687131,0.932065451233936,0.1052840545
"1810031K17Rik",-0.602202416666667,0.0239227266448565,0.178561221469217,-0.101034165
