"Gene","log2FoldChange","pvalue","padj","baseMean"
"Mns1",0.704676621666667,0.0227568966200872,0.173015853126777,-0.217134155833333
"Apon",1.60130564833333,0.000352316461430166,0.0248349563216809,0.5246197425
"Serpinb3c",0.823282716666667,0.0457396326219693,0.254298703756471,-0.0788828516666666
"1810031K17Rik",-0.602202416666667,0.0239227266448565,0.178561221469217,-0.101034165
"Hgfac",0.723558746666667,0.0410920468059335,0.238395455206037,-0.136797906666667
"Klc4",-0.593095776666667,0.0262309979173458,0.187768483097607,0.0391802783333333
"Dlg1",0.9554011,0.00280178558068845,0.0603867378021198,-0.0559015966666667
"Ccdc85a",-1.57964547666667,0.0449434039249007,0.251750646045496,-0.166209695
"Olfr495",-3.54536359,0.0243162061636825,0.180424176385098,1.16553998833333
"Jph3",-0.988568291666667,0.0170059608069564,0.147655454352344,0.4115498775
"Vps33a",-0.659686399666667,0.037151415352581,0.225472430863305,0.231118200166667
"Tmem225",0.75277504,0.0180913052091834,0.152699554209475,-0.0110191466666667
"Slc39a4",1.49339976666667,0.0287756255888853,0.197018480384452,-0.387685533333333
"Flrt2",0.719560461333334,0.0345763219543724,0.217846828206222,0.053146286
"Cyb561d2",-0.756498021666667,0.019017454917934,0.156689794381647,0.1620539025
"Sft2d2",-0.685705653333333,0.0427944498500599,0.244602812329498,-0.172232626666667
"Usp13",1.09938540333333,0.000784775957561736,0.0345267441516888,-0.0424971816666667
"Rpp25",1.49888751333333,5.89819068105178e-05,0.0142877336835172,0.21525509
"Lypd6b",0.66730245,0.0412200095719918,0.238838912414402,-0.0317929583333333
"P2ry6",-0.810109933333333,0.0250475486021145,0.183297889874603,-0.24573366
"Cpne4",-1.91911382333333,0.00341761438494546,0.066311795572271,0.005673405
"Nat14",-0.675610396333333,0.0300090559905473,0.201720731322227,0.3275487485
"Eci1",-0.92064446,0.00496851296448608,0.0784590969002393,-0.125656293333333
"Trip13",1.71658546333333,9.50230559510753e-05,0.0168983371203908,-0.158045758333333
"Rasl12",-2.0995639,0.000115885208452398,0.0179494991209237,0.40232935
"Camk1",-0.77215783,0.043233390916541,0.245904184523612,0.229512691666667
"Prkd3",0.790664678333333,0.00836579186458105,0.100954551275362,0.1065011075
"Nsmce4a",0.974697113333334,0.00098391989153685,0.0382178900697102,-0.08068959
"Speg",-0.592194562,0.0419575683077834,0.241395101942711,0.0608784343333333
"Fam195a",-0.93535932,0.00134672322927899,0.0434914405721752,-0.0467522966666667
"BC031181",-0.845470436666667,0.00460792962916067,0.0764685834106703,0.0986065883333333
"Mrpl34",-0.697174706,0.0175883847556469,0.150189743096176,0.177369593666667
"Rpl23",-0.726094566666667,0.00818740080520122,0.0999936655717198,0.130754156666667
"Gpsm2",0.891690243333333,0.0138895535721807,0.131992544596283,-0.379468435
"Actn2",0.907911939666667,0.019861664410718,0.160441452384861,-0.285185656833333
"Adrbk2",-0.941390836666667,0.0162806988086481,0.144426733870921,0.0578219883333333
"4931409K22Rik",1.35991909333333,0.000927318351845235,0.0373693201774011,-0.14217083
"Lyplal1",-1.17153391,0.00737854972557947,0.0952409401485797,-0.194158558333333
"Paqr4",0.620153421,0.0332269636985677,0.213238679023657,0.234960712833333
"Os9",-0.635408726666667,0.0167885542901875,0.146366983031144,0.166485153333333
"A_51_P109881",0.936598310666667,0.0109586766427482,0.116349380811754,-0.473054811333333
"Coro1b",-0.665400346666667,0.0238462943307483,0.178294060149516,-0.230567376666667
"Ddah1",-1.18301518333333,0.00200823615563003,0.0513237570259235,-0.249343875
"Slc1a1",-0.925907451666667,0.0244539908072384,0.18085143791418,0.428134440833333
"Nudt19",-0.919257167,0.0215737369440001,0.168048728197641,0.326077463166667
"Bean1",-1.025732972,0.0194782870045189,0.158803452856346,0.411549080666667
"Gsta4",-0.882170676666667,0.032392873866174,0.210299031903941,-0.185666638333333
"1810011O10Rik",-1.02650103366667,0.00136617726884807,0.0437154184303069,-0.371016029833333
"St6galnac2",0.670271551,0.0312462223611468,0.206107098217488,-0.0291042245
"Cenpq",0.934892637,0.0121352008977909,0.122726220014642,-0.3395651115
"F13b",0.665912153333334,0.0241404216636281,0.179710510819826,-0.112678766666667
"Gstm7",-0.71091079,0.00916491044918851,0.105258361818443,0.168804638333333
"Kifc3",-0.804601978666667,0.0228267333161778,0.173291104594891,0.273406897333333
"2210012G02Rik",-1.24356203666667,0.00148067175666458,0.045007178069208,0.128845851666667
"Amz1",-1.11006499833333,0.00209722243446288,0.0523319283505238,-0.303141110833333
"Cpne1",0.972134593333334,0.00643673908794458,0.089020890678631,-0.0251325033333333
"Prss37",1.07278282333333,0.0338943432818168,0.215579598015873,-0.229180178333333
"Surf4",-0.554975826666667,0.0229847485534493,0.173960666404628,0.00162824
"Apol8",1.57742439,0.00391076703917656,0.0703492649393559,-0.211873538333333
"Fam83h",-0.61413352,0.0128336156129641,0.126399429403314,-0.00972143666666667
"Ralgps2",0.754948616666667,0.00701112899923823,0.092435543484908,0.0275746983333333
"Hdac2",0.695215543333334,0.0119039882416307,0.121315890036534,0.292194685
"P2rx3",0.803767510666667,0.0280990312714138,0.194579009702266,0.017031038
"A_51_P116665",1.48079459566667,0.00206027239944391,0.051873623934415,-0.672616802166667
"Rapgef3",-1.57607491333333,0.00127707906599461,0.0425509446475096,0.33574661
"Ilvbl",-0.718355013333333,0.00879053555299113,0.103033057647795,0.229036726666667
"6330409D20Rik",0.826471011333334,0.0052143032689789,0.0801823782020158,0.236766971
"Cables1",-0.623490973333333,0.0179173604330866,0.151882133254707,0.110815523333333
"Rab5a",-0.615772175333334,0.0157450454988116,0.141615745221088,-0.066560939
"Bik",2.11538302,0.000992122630582185,0.0384058451652329,-0.17358979
"Zbtb43",0.484659198333333,0.0476535431439136,0.259280715314514,-0.104636034166667
"Lmo3",-0.736571306666667,0.0279005785854374,0.194108760700425,-0.275132413333333
"Ahctf1",0.723640176666667,0.0162177151808176,0.144159496603914,-0.103606411666667
"Nckap1l",-0.893757520666667,0.0254082872564177,0.184318615160693,-0.525894806333333
"Aga",-0.873333438333334,0.0217894198508665,0.169094976967662,-0.153436580833333
"9330151L19Rik",-0.735223296666667,0.0189343555680512,0.156275716890573,-0.0284445283333333
"Fbxl8",1.02241133666667,0.00339869602388471,0.0662376665859268,0.0924378983333333
"Cyp2d26",0.809680306666667,0.029395941242146,0.199501330344815,-0.06881984
"Lmnb1",0.785703973333334,0.00411554736291369,0.0723487728178034,0.0520663266666667
"Olfr713",0.642036754,0.0276268735674347,0.19289957609375,0.127815406333333
"March1",-1.31539933,0.00315719517467265,0.0639619556038735,0.606567621666667
"Fam132b",1.40972930333333,0.0012830203122567,0.0425714764953409,-0.402755251666667
"Cenpo",1.47495015333333,8.73674610264213e-05,0.0165057617159246,-0.182354613333333
"Slc35a4",-0.606530188333333,0.0476726767032425,0.259282534989024,-0.2995958325
"Usp20",-0.647992126666667,0.00942123506128597,0.10655899925376,-0.0863990766666667
"Smc1a",0.649874366666667,0.0075696868723186,0.0959008847390946,0.108933766666667
"Nubp1",0.66415087,0.0137987892880021,0.131541572920513,-0.0390084583333333
"Ercc6l",1.16857658,0.00485562268548339,0.0781272460213169,-0.30109131
"Bub1",1.78169156333333,0.000919524464169542,0.0372766154699531,-0.382028418333333
"Ppwd1",1.37357297,0.00074024527939687,0.0338685803673064,-0.241113025
