Gene,bind_logFC,expr_fong,adjP_fong,expr_cag,adjP_cag,sign_concordant,delta_abs_expr
AAAS,1.625174595970623,1.196060940416556,0.0389809161331232,0.981054623333333,0.0668583902849296,True,0.21500631708322304
AHCTF1,3.091832218239389,0.6733614170046689,0.1935523912048355,0.723640176666667,0.144159496603914,True,0.05027875966199813
ANK3,-1.607722548982512,-1.132946402981849,0.0861485511029642,0.872037098333335,0.0645121790814512,False,0.26090930464851403
ANLN,1.631307776069199,1.450020234308058,0.0141794857096725,1.66891732,0.0673467833991886,True,0.2188970856919421
ASPM,2.843568518642131,1.770174042775901,0.0184547902943026,1.63605848,0.0546775736831519,True,0.13411556277590098
AURKB,1.653113994163559,1.45080420479075,0.0341945377675535,2.5176131,0.0458486522035229,True,1.0668088952092503
BARD1,1.761824020417345,2.265514004744611,0.0447250024563442,1.802133296666667,0.0082551391804494,True,0.46338070807794396
BCL2L11,-1.346079059546178,0.8817895774690054,0.0330177860962086,1.01970784333333,0.0733483010846694,True,0.13791826586432454
BIRC5,2.572413919117823,1.572063223313299,0.0531539987993039,1.883474353333334,0.0249006035579983,True,0.31141113002003507
BLM,2.652666761318585,1.015237019961631,0.0211181114722254,1.6397807,0.0248349563216809,True,0.624543680038369
BUB1,3.226993022677618,1.18996797987125,0.0447250024563442,1.78169156333333,0.0372766154699531,True,0.59172358346208
BUB1B,3.180520130390996,0.9561593970027946,0.1005134134957508,1.10008621466667,0.165882022219304,True,0.14392681766387527
CCNB1,2.03192715069859,1.183494198582819,0.069562968348531,1.36669661111111,0.047992113562553,True,0.18320241252829117
CCNB2,2.619327010866337,1.951873959508148,0.0258685478963911,1.02592629333333,0.144428178980486,True,0.925947666174818
CCNF,1.823128409176863,1.233805286756605,0.1648281801114429,1.23129939666667,0.184255665675932,True,0.002505890089934848
CDC20,2.866729013673511,1.638764975985826,0.0331209661171403,1.31355094633333,0.109834623024686,True,0.32521402965249613
CDC7,2.839424172359373,1.143394999098849,0.0416667855120086,1.916201981666665,0.0212204525380464,True,0.7728069825678161
CDCA2,4.34873001560986,1.357855894359345,0.0128043673178435,2.186914054833335,0.0525970695608695,True,0.82905816047399
CDK5RAP2,0.9066515820403849,1.129264902921406,0.0266528348269986,0.8019526001666666,0.0485705318926084,True,0.3273123027547393
CDKN2D,2.4287125924183,1.179978532238442,0.057729051107103,1.30566629333333,0.018570279260885,True,0.1256877610948881
CDT1,1.464080320219552,2.113154114771525,0.034323166099888,2.35189786666667,0.0079736093339469,True,0.23874375189514518
CENPA,2.046152914612948,1.262226080175852,0.1315715795730729,1.09736346066667,0.15771437842766,True,0.16486261950918202
CENPF,3.345337392472302,1.827494457312652,0.0345451909486121,1.30891037466667,0.170218900776472,True,0.518584082645982
CENPH,3.109420815530984,1.555864597408734,0.0416273005497133,2.81036756666667,0.0109966540265288,True,1.254502969257936
CENPI,1.800604635862505,1.682974598131757,0.015010717275339,1.64849423333333,0.039534358032685,True,0.03448036479842709
CENPK,2.733028481102689,1.592766351999803,0.0966859786733246,1.473930835,0.0125996860209247,True,0.11883551699980299
CENPM,2.141766496260138,1.925867672681502,0.0208314680055539,1.04426940666667,0.0803332232849624,True,0.881598266014832
CEP152,2.88329178368001,1.341684921228406,0.0395070420183828,1.65130425666667,0.0582858905254735,True,0.3096193354382639
CEP72,2.696823465616321,1.124411287982827,0.0688324899318754,1.64882181966667,0.0692695669965397,True,0.524410531683843
CIT,2.690291894698556,1.812250070280402,0.0249136553190315,2.41743517333333,0.0392045375537836,True,0.605185103052928
CKS2,2.146418881109642,1.543208628336995,0.1005487470597486,1.13528093766667,0.0838352790162097,True,0.4079276906703251
CLSPN,1.505048019189068,1.782132568426396,0.0439142651453121,1.82499105,0.0293301692226668,True,0.042858481573603946
DDX11,3.402816444276547,0.9701917128568168,0.1909158768769445,1.20845810333333,0.0659892359223147,True,0.2382663904765131
DSN1,2.543875838297128,1.143933270689626,0.0203576261499154,1.72432963,0.0220716307959948,True,0.580396359310374
E2F7,1.846469735564592,1.993237146787434,0.0253799328031373,1.90615685666667,0.0125996860209247,True,0.0870802901207639
ECT2,3.624969164220547,1.627678488312835,0.0366533006166279,2.454350081666665,0.0281622612705943,True,0.8266715933538298
ESPL1,2.979640224983259,1.411734608422281,0.0503323067143546,1.43126438866667,0.133365185884644,True,0.019529780244389006
EXO1,1.287624122616179,1.708862794127542,0.0145004434739725,1.87644926,0.018570279260885,True,0.16758646587245796
EXOC4,1.50204624849163,0.635536977684545,0.1951161432293892,1.11167391166667,0.101376247795688,True,0.4761369339821251
FANCA,1.923368554215099,1.36284859369332,0.0506070625989558,2.52823545,0.0176940228304813,True,1.16538685630668
FBXO5,1.911845446413261,1.290053197136606,0.0372319235061292,1.87897872,0.0331455997024095,True,0.5889255228633941
GMNN,1.551267737785834,2.08784732217444,0.0322455894918612,1.98833586166667,0.0117893442214759,True,0.09951146050777004
GPSM2,1.875750777685036,0.8361615114855656,0.073659501932471,0.891690243333333,0.131992544596283,True,0.05552873184776741
HMGB1,2.2894778964786,0.7034966865423886,0.0789990982658864,1.015385306833333,0.0183762393358205,True,0.31188862029094433
INCENP,2.705781951400042,1.295854665262565,0.0229438168891258,1.58810488666667,0.0381352579386144,True,0.29225022140410495
KIF11,2.199726128896946,1.364313678302267,0.0265859556982859,1.84802927666667,0.0493526148567332,True,0.48371559836440303
KIF14,3.001738255299844,2.128421461063765,0.0090470997504832,1.51564233333333,0.0818504302570553,True,0.6127791277304349
KIF20B,2.504187771534266,1.88155841230822,0.0348132792482499,2.07415133666667,0.0407779320173756,True,0.1925929243584501
KIF22,3.362735964963528,1.351668092348572,0.0298398503177039,1.58648364333333,0.04056791508594,True,0.23481555098475804
KIF23,-2.06887235538868,1.470882971676842,0.0095560061778607,1.41449023666667,0.0809419034804896,True,0.056392735010171835
KIF2A,-1.298385643042049,0.4790488363031286,0.251443190136117,0.7545745323333335,0.0696087422466268,True,0.2755256960302049
KIF2C,2.744893433319016,1.190040190070246,0.0435909693501134,1.85357325166667,0.0671063199991656,True,0.6635330615964241
KIFC1,1.464921270461628,2.066309832505993,0.0615171477322433,2.13206099333333,0.0173048901198731,True,0.0657511608273369
LARP7,1.872708946437161,0.9254098825319552,0.0920820738101622,0.600995858333333,0.183894994401123,True,0.3244140241986222
LIG1,1.560572527688878,1.122789441725574,0.0513084197948102,1.91888874,0.0104476927453508,True,0.7960992982744262
LMNB1,1.468511915223946,1.378247786167261,0.02369825988855,0.785703973333334,0.0723487728178034,True,0.5925438128339271
LSM11,1.827885594262511,0.8323585901731372,0.2028753859420121,0.58337641,0.202461086768413,True,0.24898218017313722
MAD2L1,2.165750314944522,1.615774305713854,0.0427739977577085,1.649880414444443,0.0226703632246284,True,0.03410610873058895
MBD4,-1.630896546922965,0.6525667368896535,0.0745870808618195,1.64064916333333,0.018570279260885,True,0.9880824264436765
MCM3,1.914243872947878,1.247807928166628,0.0314424068223466,1.496121095,0.0196717285121196,True,0.2483131668333718
MCM5,-1.435963453960028,1.313974609119931,0.0563753658672887,1.97893908,0.0117022093292663,True,0.664964470880069
MDM1,2.159040988305603,0.9704176500004048,0.0858375920787665,2.003351213333335,0.034828514006409,True,1.03293356333293
MKI67,1.532678767463946,1.770772829298446,0.0184547902943026,2.023247401666665,0.030226797412146,True,0.2524745723682189
MNS1,3.07651592490675,1.127893615878772,0.1607346773774005,0.704676621666667,0.173015853126777,True,0.423216994212105
MYBL2,1.972979433048424,1.546004594967348,0.0502467198410137,1.839220825,0.0208802957210178,True,0.29321623003265196
NASP,1.844710839321344,0.6128436618560791,0.2835920950744432,1.662430223333333,0.0111793679571305,True,1.049586561477254
NCAPG,2.120352873828411,1.43208623427517,0.0184547902943026,1.89567694666667,0.0194686200747026,True,0.4635907123915002
NCAPG2,1.757531858319253,1.86607368591171,0.0111608826198735,1.7572133,0.0322644388121068,True,0.10886038591170988
NCAPH,1.459640937320033,1.403941331938082,0.0184547902943026,1.31492838666667,0.0695182059418736,True,0.08901294527141212
NDC80,2.220368537259044,1.475102281605809,0.0205045279505499,2.05035814666667,0.0228158509569282,True,0.575255865060861
NEK2,3.017470413897539,1.508921384732487,0.0301730387524996,1.45248904333333,0.104742140156672,True,0.05643234139915698
NR4A3,-2.215664333529,1.75230544296314,0.0651651861378937,-2.16585030166667,0.131541572920513,False,0.4135448587035302
NSL1,2.512446425718175,1.631521465619564,0.017139468735427,2.66732335,0.0179494991209237,True,1.0358018843804362
NUBP1,-2.00741749164059,0.6330459836648306,0.2252000295251406,0.66415087,0.131541572920513,True,0.03110488633516939
NUSAP1,1.437273430820962,1.175600126240884,0.0933492083046481,1.61954753333333,0.0747515356552736,True,0.44394740709244607
OIP5,2.611504648525019,2.056595700589652,0.063678592985966,1.62411611,0.0473815745323507,True,0.4324795905896519
PDE4DIP,-1.436939708707467,-0.6636492188818419,0.0748801776307711,-1.424436574166665,0.0692695669965397,True,0.760787355284823
PKMYT1,1.558879718567687,1.818121535643073,0.0318499661763117,2.83191173333333,0.0055981219883404,True,1.0137901976902568
PLK1,2.972519661574066,1.150101711610306,0.1169669773741732,1.26368585,0.115457548333998,True,0.11358413838969406
PPP2R1A,-1.235673404274757,-0.5249515875139164,0.1812296340899968,-0.680867829,0.246006601229928,True,0.15591624148608363
PRC1,2.558431421493897,1.64221157487323,0.0239597483365445,1.42192903,0.119810914006869,True,0.22028254487322996
PSRC1,2.166941566847905,2.071546596007572,0.0143190350461575,1.87404078,0.0282215187407787,True,0.19750581600757178
PUM2,-1.519886345713048,0.5074863444513493,0.2710469281901475,0.65123559,0.170038250229834,True,0.14374924554865065
RACGAP1,1.867097054982266,1.520735322477263,0.0238708470515851,1.48452219,0.0390006599260512,True,0.03621313247726299
RAD18,2.407878253950354,1.527519673432835,0.0141633253952389,2.236540233333335,0.0178433924402947,True,0.7090205599005002
RAD21,1.553518999812994,1.343629372536828,0.0236892274369109,0.760348003333333,0.0600893770975115,True,0.583281369203495
RAD50,2.510334036114719,0.8379432433642791,0.0617933286083391,1.000864754999998,0.0629377268474354,True,0.162921511635719
RAD51,1.607368325284127,1.696622830599738,0.0480628341509684,2.428000448333335,0.0114243103930241,True,0.7313776177335969
RAD54L,2.309720556316935,1.381515950171964,0.0435530979925609,2.34309228333333,0.0148631627216409,True,0.961576333161366
RBBP8,1.449546300031691,0.9485463243361156,0.1092499326266747,1.64502176666667,0.0169730753514649,True,0.6964754423305544
RFWD3,1.918788815186192,0.9444222054024128,0.0685553127840271,0.843954413333333,0.103033057647795,True,0.10046779206907985
RPA2,1.987778039380911,1.202047332465465,0.0523431297458958,1.19919681666667,0.0282215187407787,True,0.002850515798795028
RRM1,2.11222852736467,0.9626282453911852,0.0569599299837336,0.98436962,0.0500322079465467,True,0.021741374608814756
RRM2,2.260315822138022,1.472020929261857,0.0351637046375137,1.65120824666667,0.0170923609242367,True,0.17918731740481308
RTTN,-1.678897428060848,0.8973877482190131,0.1879682373857065,1.32733883333333,0.0994394716878202,True,0.4299510851143169
SAC3D1,2.094823017869872,0.6343656975079544,0.2312179182891925,0.522128423333333,0.234323433864939,True,0.11223727417462137
SASS6,2.46842144525437,1.274368367903815,0.0415745653205864,1.94781144333333,0.0205169942010692,True,0.6734430754295151
SPAG5,2.413096106559417,1.436727264923144,0.01686502422549,1.77611987666667,0.034828514006409,True,0.339392611743526
SPC24,2.506544146987414,1.705591062586549,0.0447250024563442,1.59421508,0.0281702769553542,True,0.11137598258654902
SPC25,2.003915820784496,1.647644446787544,0.0474100448555194,2.02653887333333,0.0265324131753278,True,0.3788944265457861
SUV39H1,2.105772508526727,0.7264373540879134,0.1244867390771278,1.90938121333333,0.0285313003732331,True,1.1829438592454167
SUV39H2,1.962043161017073,0.9986345364826654,0.2049329635855413,1.53791223,0.0271546000795182,True,0.5392776935173347
TERF1,1.780529146235796,0.7933532030564301,0.1279611000032841,0.894913669333333,0.118201878694136,True,0.10156046627690296
TIMELESS,2.351542374530895,1.189979964761665,0.0115545778440804,1.974350371666665,0.0125996860209247,True,0.7843704069050002
TOPBP1,2.197697092176385,1.465024199333319,0.0290830910486422,1.31836347666667,0.039325020235728,True,0.14666072266664898
TPX2,3.042100227079819,1.545548683133468,0.0184547902943026,1.340417626666665,0.0297316478649037,True,0.20513105646680296
TTK,2.825774155443693,1.491449206652231,0.0267388776444909,2.04887244333333,0.0687334144940681,True,0.5574232366810989
UBE2C,3.039811204366357,1.1216903660175,0.2440858333967431,1.499869179166665,0.0911897636980435,True,0.378178813149165
XPO1,2.263869741844275,0.7473065547594349,0.1264627012218707,0.7563681656666665,0.0441654699294869,True,0.009061610907231676
XRCC2,2.890532998845596,1.297712489734822,0.0420266888179954,1.83779876666667,0.0439403307508101,True,0.540086276931848
ZW10,1.652448403195695,0.535813650516678,0.1901193675920088,0.944123906666667,0.0612142415191007,True,0.40831025614998906
