Gene,bind_logFC,expr_fong,adjP_fong,expr_cag,adjP_cag,sign_concordant,delta_abs_expr
BARD1,1.761824020417345,2.265514004744611,0.0447250024563442,1.802133296666667,0.0082551391804494,True,0.46338070807794396
BLM,2.652666761318585,1.015237019961631,0.0211181114722254,1.6397807,0.0248349563216809,True,0.624543680038369
CDC7,2.839424172359373,1.143394999098849,0.0416667855120086,1.916201981666665,0.0212204525380464,True,0.7728069825678161
DEK,-1.364747616717371,1.118001561801245,0.063265917670502,1.16838772333333,0.0511110103017357,True,0.05038616153208486
EXO1,1.287624122616179,1.708862794127542,0.0145004434739725,1.87644926,0.018570279260885,True,0.16758646587245796
FANCA,1.923368554215099,1.36284859369332,0.0506070625989558,2.52823545,0.0176940228304813,True,1.16538685630668
FANCG,2.225224048304625,1.05087400646989,0.0229438168891258,1.9173115,0.0381352579386144,True,0.86643749353011
GINS2,2.762268078251187,2.038033429521942,0.0258685478963911,1.35460519333333,0.0266359662947876,True,0.6834282361886119
HMGB1,2.2894778964786,0.7034966865423886,0.0789990982658864,1.015385306833333,0.0183762393358205,True,0.31188862029094433
KLHL15,-1.22194776788262,0.4776081587029015,0.2610661945318737,1.865016189,0.148503980434505,True,1.3874080302970986
LIG1,1.560572527688878,1.122789441725574,0.0513084197948102,1.91888874,0.0104476927453508,True,0.7960992982744262
MCM3,1.914243872947878,1.247807928166628,0.0314424068223466,1.496121095,0.0196717285121196,True,0.2483131668333718
MCM5,-1.435963453960028,1.313974609119931,0.0563753658672887,1.97893908,0.0117022093292663,True,0.664964470880069
NEIL1,-1.897606750391059,-0.6023191945494863,0.1562612951794176,-0.578069366666667,0.205808155536988,True,0.024249827882819375
NEIL3,1.796569900714504,1.910304413909799,0.015010717275339,1.496129987,0.13903136482853,True,0.4141744269097991
NUCKS1,1.603113562844904,0.852589433985564,0.0742083536148538,1.12583032333333,0.0438177430066928,True,0.273240889347766
POLQ,2.630280664833366,1.525266474602144,0.015010717275339,2.874853856666665,0.0117592031394034,True,1.349587382064521
RAD21,1.553518999812994,1.343629372536828,0.0236892274369109,0.760348003333333,0.0600893770975115,True,0.583281369203495
RAD50,2.510334036114719,0.8379432433642791,0.0617933286083391,1.000864754999998,0.0629377268474354,True,0.162921511635719
RAD51,1.607368325284127,1.696622830599738,0.0480628341509684,2.428000448333335,0.0114243103930241,True,0.7313776177335969
RAD54L,2.309720556316935,1.381515950171964,0.0435530979925609,2.34309228333333,0.0148631627216409,True,0.961576333161366
RBBP8,1.449546300031691,0.9485463243361156,0.1092499326266747,1.64502176666667,0.0169730753514649,True,0.6964754423305544
RFWD3,1.918788815186192,0.9444222054024128,0.0685553127840271,0.843954413333333,0.103033057647795,True,0.10046779206907985
RPA2,1.987778039380911,1.202047332465465,0.0523431297458958,1.19919681666667,0.0282215187407787,True,0.002850515798795028
SAMHD1,-1.471068543510877,0.5906422473875086,0.0443776621220288,0.660641185333334,0.142853375133791,True,0.06999893794582546
SUV39H1,2.105772508526727,0.7264373540879134,0.1244867390771278,1.90938121333333,0.0285313003732331,True,1.1829438592454167
TIMELESS,2.351542374530895,1.189979964761665,0.0115545778440804,1.974350371666665,0.0125996860209247,True,0.7843704069050002
XRCC2,2.890532998845596,1.297712489734822,0.0420266888179954,1.83779876666667,0.0439403307508101,True,0.540086276931848
