Gene,bind_logFC,expr_map2,adjP_map2,expr_cag,adjP_cag,sign_concordant,delta_abs_expr
AAAS,1.625174595970623,0.8098368055555555,0.4017584119964146,0.981054623333333,0.0668583902849296,True,0.17121781777777756
AHCTF1,3.091832218239389,0.5674147055555556,0.5886653322220056,0.723640176666667,0.144159496603914,True,0.1562254711111114
ANLN,1.631307776069199,1.583866102222222,0.2116043124877084,1.66891732,0.0673467833991886,True,0.08505121777777802
ASPM,2.843568518642131,1.362550513333334,0.2116043124877084,1.63605848,0.0546775736831519,True,0.273507966666666
AURKB,1.653113994163559,1.623013604444445,0.4179738076010212,2.5176131,0.0458486522035229,True,0.8945994955555552
BARD1,1.761824020417345,1.661701048333333,0.2610624618991867,1.802133296666667,0.0082551391804494,True,0.140432248333334
BCL2L11,-1.346079059546178,1.247095141888889,0.3506005136639701,1.01970784333333,0.0733483010846694,True,0.22738729855555895
BIRC5,2.572413919117823,1.491343254074074,0.2229108108783872,1.883474353333334,0.0249006035579983,True,0.39213109925925993
BLM,2.652666761318585,1.239867755555556,0.3350636596997103,1.6397807,0.0248349563216809,True,0.39991294444444403
BUB1,3.226993022677618,1.414057528888889,0.2413494566705565,1.78169156333333,0.0372766154699531,True,0.36763403444444087
BUB1B,3.180520130390996,1.070620433,0.3205621281787723,1.10008621466667,0.165882022219304,True,0.02946578166666991
CCNB1,2.03192715069859,1.172183534814815,0.2185387662075358,1.36669661111111,0.047992113562553,True,0.194513076296295
CCNB2,2.619327010866337,0.9298196544444446,0.2852741805486515,1.02592629333333,0.144428178980486,True,0.09610663888888538
CCNF,1.823128409176863,1.093017575555556,0.2899999112278854,1.23129939666667,0.184255665675932,True,0.1382818211111141
CDC20,2.866729013673511,1.335042418222222,0.2116043124877084,1.31355094633333,0.109834623024686,True,0.02149147188889211
CDC7,2.839424172359373,1.193938432777778,0.4314782671147839,1.916201981666665,0.0212204525380464,True,0.7222635488888871
CDCA2,4.34873001560986,1.887184886333333,0.1694509719262741,2.186914054833335,0.0525970695608695,True,0.2997291685000021
CDK5RAP2,0.9066515820403849,0.6982977336111111,0.5197076000792891,0.8019526001666666,0.0485705318926084,True,0.10365486655555545
CDKN2D,2.4287125924183,0.8325625488888888,0.5899943947082993,1.30566629333333,0.018570279260885,True,0.47310374444444125
CDT1,1.464080320219552,1.667127928888889,0.4053126737138054,2.35189786666667,0.0079736093339469,True,0.6847699377777812
CENPA,2.046152914612948,1.222513398555555,0.239546761098901,1.09736346066667,0.15771437842766,True,0.12514993788888495
CENPF,3.345337392472302,1.032609413777778,0.4252095889699384,1.30891037466667,0.170218900776472,True,0.276300960888892
CENPH,3.109420815530984,1.967528651111112,0.3032261485944124,2.81036756666667,0.0109966540265288,True,0.8428389155555578
CENPI,1.800604635862505,1.409175758888889,0.2149019339907676,1.64849423333333,0.039534358032685,True,0.239318474444441
CENPK,2.733028481102689,1.09581036,0.3170556315570569,1.473930835,0.0125996860209247,True,0.378120475
CENPM,2.141766496260138,0.8938766088888886,0.4571883895995602,1.04426940666667,0.0803332232849624,True,0.15039279777778136
CEP152,2.88329178368001,1.43489325,0.2531414624242242,1.65130425666667,0.0582858905254735,True,0.21641100666667
CEP72,2.696823465616321,1.616842100000001,0.2074647396178739,1.64882181966667,0.0692695669965397,True,0.031979719666668904
CIT,2.690291894698556,1.718534735555556,0.2878007769749082,2.41743517333333,0.0392045375537836,True,0.6989004377777741
CKS2,2.146418881109642,0.8726394000000003,0.4468715261715674,1.13528093766667,0.0838352790162097,True,0.26264153766666964
CLSPN,1.505048019189068,1.30032318888889,0.4827425836701006,1.82499105,0.0293301692226668,True,0.52466786111111
DDX11,3.402816444276547,1.052302836666667,0.2149019339907676,1.20845810333333,0.0659892359223147,True,0.15615526666666302
DSN1,2.543875838297128,1.275746446666667,0.3466418968399138,1.72432963,0.0220716307959948,True,0.4485831833333329
E2F3,1.525344459992908,1.409458967777778,0.4140666327565688,1.763366628333335,0.018570279260885,True,0.3539076605555569
E2F7,1.846469735564592,1.305526842222222,0.4485213459445696,1.90615685666667,0.0125996860209247,True,0.6006300144444481
ECT2,3.624969164220547,1.929853092222222,0.2116043124877084,2.454350081666665,0.0281622612705943,True,0.5244969894444429
EPS8,-1.611158371230664,-1.549940082,0.1562094427415782,-1.997360985,0.0356578900648549,True,0.44742090300000004
ESPL1,2.979640224983259,1.455087857777777,0.2536241803817188,1.43126438866667,0.133365185884644,True,0.023823469111107
EXO1,1.287624122616179,1.351839164444445,0.3604883953556918,1.87644926,0.018570279260885,True,0.524610095555555
FANCA,1.923368554215099,1.884822753333333,0.2149019339907676,2.52823545,0.0176940228304813,True,0.6434126966666669
FBXO5,1.911845446413261,1.741735333333333,0.2116043124877084,1.87897872,0.0331455997024095,True,0.13724338666666713
FEN1,2.28210301849765,1.038769616666666,0.5525638249773256,1.54019068666667,0.0161124137752405,True,0.5014210700000039
GMNN,1.551267737785834,1.463133003333333,0.306295532940792,1.98833586166667,0.0117893442214759,True,0.525202858333337
GPSM2,1.875750777685036,0.9072216744444443,0.2610624618991867,0.891690243333333,0.131992544596283,True,0.015531431111111327
HMGB1,2.2894778964786,0.8996096530555555,0.397209443713584,1.015385306833333,0.0183762393358205,True,0.11577565377777743
INCENP,2.705781951400042,1.312339683888889,0.2116043124877084,1.58810488666667,0.0381352579386144,True,0.27576520277778105
KIF11,2.199726128896946,1.551428192222223,0.2503250160740336,1.84802927666667,0.0493526148567332,True,0.2966010844444469
KIF13A,1.754293090568488,-0.6452522166666668,0.5779213338293574,-0.749699582,0.110861756688673,True,0.10444736533333321
KIF14,3.001738255299844,1.344396075,0.2116043124877084,1.51564233333333,0.0818504302570553,True,0.17124625833333007
KIF20B,2.504187771534266,1.598579068888889,0.2536241803817188,2.07415133666667,0.0407779320173756,True,0.47557226777778117
KIF22,3.362735964963528,1.290346994444445,0.2185387662075358,1.58648364333333,0.04056791508594,True,0.296136648888885
KIF23,-2.06887235538868,1.311825665555556,0.2410013923269574,1.41449023666667,0.0809419034804896,True,0.10266457111111404
KIF2C,2.744893433319016,1.595018897222222,0.2300469926965806,1.85357325166667,0.0671063199991656,True,0.2585543544444482
KIFC1,1.464921270461628,1.36785586,0.4709064104649613,2.13206099333333,0.0173048901198731,True,0.76420513333333
KLF4,-1.501260621497925,1.047324373888889,0.3330809593819589,1.217014616,0.122975796926174,True,0.16969024211111083
LIG1,1.560572527688878,1.375836168888889,0.3684437154704058,1.91888874,0.0104476927453508,True,0.5430525711111112
MAD2L1,2.165750314944522,1.215930838518519,0.259267897822961,1.649880414444443,0.0226703632246284,True,0.433949575925924
MBD4,-1.630896546922965,1.140996456666667,0.3733760689156093,1.64064916333333,0.018570279260885,True,0.49965270666666295
MCM3,1.914243872947878,1.061387755555556,0.4571883895995602,1.496121095,0.0196717285121196,True,0.4347333394444439
MCM5,-1.435963453960028,1.305273161111111,0.5358963992224616,1.97893908,0.0117022093292663,True,0.6736659188888889
MDM1,2.159040988305603,1.369998968333333,0.2735580947616394,2.003351213333335,0.034828514006409,True,0.633352245000002
MKI67,1.532678767463946,1.532774451666667,0.2149019339907676,2.023247401666665,0.030226797412146,True,0.4904729499999978
MNS1,3.07651592490675,0.6364702598888888,0.514309459528947,0.704676621666667,0.173015853126777,True,0.06820636177777817
MYB,-1.382188090014567,1.487309266666667,0.4180033565780889,2.20389076666667,0.0079736093339469,True,0.7165815000000031
MYBL2,1.972979433048424,1.302147323333334,0.4017278683188246,1.839220825,0.0208802957210178,True,0.5370735016666659
NASP,1.844710839321344,1.09468770037037,0.3693936678006834,1.662430223333333,0.0111793679571305,True,0.5677425229629629
NCAPG,2.120352873828411,1.550959978888889,0.2149019339907676,1.89567694666667,0.0194686200747026,True,0.34471696777778105
NCAPG2,1.757531858319253,1.417872772222223,0.283623876730574,1.7572133,0.0322644388121068,True,0.339340527777777
NCAPH,1.459640937320033,1.212660696666666,0.2410013923269574,1.31492838666667,0.0695182059418736,True,0.10226769000000391
NDC80,2.220368537259044,1.552816443333333,0.225786959025751,2.05035814666667,0.0228158509569282,True,0.49754170333333714
NEK2,3.017470413897539,1.530788197777778,0.225786959025751,1.45248904333333,0.104742140156672,True,0.07829915444444802
NR4A3,-2.215664333529,-2.181305555555555,0.3226644580655576,-2.16585030166667,0.131541572920513,True,0.015455253888884801
NSL1,2.512446425718175,2.1885218525,0.2457987141030398,2.66732335,0.0179494991209237,True,0.4788014975000001
NUSAP1,1.437273430820962,1.518208936666667,0.2116043124877084,1.61954753333333,0.0747515356552736,True,0.10133859666666312
OIP5,2.611504648525019,1.362067388888889,0.3524321190648987,1.62411611,0.0473815745323507,True,0.2620487211111109
PDE4DIP,-1.436939708707467,-1.380375151111111,0.2149019339907676,-1.424436574166665,0.0692695669965397,True,0.04406142305555383
PKMYT1,1.558879718567687,1.852968655555556,0.4075424586334539,2.83191173333333,0.0055981219883404,True,0.9789430777777739
PLCB1,-1.558556740899154,-0.5535384211111113,0.5867198511712259,-0.68666044,0.104087682475134,True,0.13312201888888875
PLK1,2.972519661574066,1.09373844,0.2531414624242242,1.26368585,0.115457548333998,True,0.16994741000000002
PRC1,2.558431421493897,1.304942756666667,0.2421743102441036,1.42192903,0.119810914006869,True,0.11698627333333311
PRKCQ,-1.483744995347992,-1.219642041111111,0.5355100886882965,-1.40819882733333,0.117759110332816,True,0.18855678622221883
PSRC1,2.166941566847905,1.349981594444444,0.2860220357663131,1.87404078,0.0282215187407787,True,0.5240591855555561
RACGAP1,1.867097054982266,1.302655276666667,0.2503250160740336,1.48452219,0.0390006599260512,True,0.18186691333333305
RAD18,2.407878253950354,1.791055358888889,0.2617001891704405,2.236540233333335,0.0178433924402947,True,0.4454848744444462
RAD51,1.607368325284127,1.799067992777778,0.2610624618991867,2.428000448333335,0.0114243103930241,True,0.6289324555555569
RAD54L,2.309720556316935,1.711928481111112,0.2852741805486515,2.34309228333333,0.0148631627216409,True,0.6311638022222181
RBBP8,1.449546300031691,1.179803647777778,0.417468269835634,1.64502176666667,0.0169730753514649,True,0.465218118888892
RFWD3,1.918788815186192,0.7566745577777778,0.4737952203167812,0.843954413333333,0.103033057647795,True,0.08727985555555517
RPA2,1.987778039380911,0.9536846522222224,0.4498537551444297,1.19919681666667,0.0282215187407787,True,0.24551216444444757
RRM1,2.11222852736467,0.7254524433333334,0.5550818933576049,0.98436962,0.0500322079465467,True,0.2589171766666666
