Gene,mean_logFC_expr,adjP_expr,mean_logFC_bind,P_Value_bind,abs_expr,abs_bind
CDKN2A,1.96273994566667,0.0212204525380464,2.362612053673109,0.0002199427830036041,1.96273994566667,2.362612053673109
BOK,1.63919896,0.0198069821019957,1.427406811617181,0.0233512086495875,1.63919896,1.427406811617181
BAG3,-1.36389206,0.0783384301068527,-1.582674061610477,0.0299040611834186,1.36389206,1.582674061610477
MUL1,1.30099232333333,0.0872941959277577,-1.508398025328722,0.0457084587112118,1.30099232333333,1.508398025328722
WNK1,1.10012501666667,0.22247932049396,0.02907367256733639,0.0341715449697974,1.10012501666667,0.02907367256733639
TOMM7,-1.07073975533333,0.258100658004153,1.314776581237844,0.0423461364375786,1.07073975533333,1.314776581237844
BCL2L11,1.01970784333333,0.0733483010846694,-1.346079059546178,0.0247273325935447,1.01970784333333,1.346079059546178
HMGB1,1.015385306833333,0.0183762393358205,2.2894778964786,0.002327843289106,1.015385306833333,2.2894778964786
ATG7,-0.973286165,0.121309332715762,-1.717003932716528,0.0247891485925265,0.973286165,1.717003932716528
MAP3K7,0.8956664525000015,0.0498264559543672,2.044753074670295,0.0013893783281855,0.8956664525000015,2.044753074670295
MAPT,-0.839550657666666,0.229839815772546,1.265797547802065,0.0409024367231568,0.839550657666666,1.265797547802065
FEZ1,-0.809652646666667,0.204002038613471,-1.447959958052397,0.0157293970330926,0.809652646666667,1.447959958052397
TRIM13,-0.80135839,0.117693642597752,1.343533732323885,0.0481784659110975,0.80135839,1.343533732323885
LRRK2,-0.669057373333333,0.25947203350492,-1.606917415322598,0.0336698999280538,0.669057373333333,1.606917415322598
GABARAPL1,-0.664082843333333,0.141615745221088,-1.750635798256774,0.0089774254531035,0.664082843333333,1.750635798256774
SCOC,0.647355083333333,0.123412777628922,-1.415897750587894,0.0396739264435312,0.647355083333333,1.415897750587894
VPS41,-0.620973906666667,0.144398826039392,-1.623081253575049,0.039798945848146,0.620973906666667,1.623081253575049
BNIP3L,-0.6058281316666669,0.154221434710153,-1.35598678801462,0.0415342666379065,0.6058281316666669,1.35598678801462
ERCC4,-0.595639546666667,0.139163623725646,-1.523268876749754,0.0270106383228582,0.595639546666667,1.523268876749754
CHMP4B,-0.5955036533333335,0.125077995244725,-1.372009954137898,0.0272844137190277,0.5955036533333335,1.372009954137898
ROCK1,0.547992389333333,0.219096111654308,1.453581956644478,0.0418317602348568,0.547992389333333,1.453581956644478
MFSD8,-0.530429683333333,0.257600803411552,-1.4525142450727,0.012515427147518,0.530429683333333,1.4525142450727
