Gene,log2FoldChange,pvalue,padj,baseMean
CCNE2,2.873865354876841,,,6.448631666666667
CHAF1B,2.797001643813317,,,7.7954861666666675
MCM6,2.534982172530457,,,6.8888165
4632417K18RIK,2.4536730474029964,,,6.212122333333333
CCNE1,2.442660368186719,,,7.571500666666666
DTL,2.280964031932029,,,7.208316666666666
PRIM1,2.278821475959275,,,6.682050499999999
6330514A18RIK,2.214629194047321,,,6.936186833333333
HELLS,2.1962890433435547,,,6.2880915
TCF19,2.146083830417372,,,7.533141333333333
CHEK1,2.142530090491496,,,6.784859333333333
DNA2,2.1178279041112043,,,6.586044333333334
CENPK,2.114519616034214,,,6.042720499999999
WDHD1,2.0769467032187725,,,7.020503833333334
D330045A20RIK,2.0261608835283598,,,5.148409333333333
KNTC1,2.007742150536322,,,6.0181735
POLE,1.9913806013013047,,,6.934977333333333
PCNA,1.9124567262590544,,,9.227305166666666
PLA2G4C,1.9039451855853695,,,6.014258000000001
MCM3,1.8476855313506957,,,6.640572333333334
ZCWPW1///PILRB2,1.8436136789784205,,,6.125941999999999
ZFP367,1.8210707165885083,,,7.660948333333334
E2F1,1.7800496764352856,,,7.544139833333333
DHFR,1.7692873185512852,,,6.342320000000001
ATAD2,1.7622808574724464,,,6.027074166666666
RRM1,1.7434118193148613,,,8.294312833333333
MCM5,1.740217108989797,,,7.748598666666666
TYMS///TYMS-PS,1.6860668130793677,,,7.3927235
CDC6,1.684609610145161,,,5.915844
HIST1H1A,1.6768441001618042,,,7.767213333333335
FBXO5,1.6570319331630863,,,5.970198
WEE1,1.6504173056591371,,,7.1160584999999985
TXNIP,1.6437445554842778,,,7.729045833333333
E2F8,1.617406916013676,,,6.729675333333333
NCAPG2,1.6166628140232095,,,6.161229166666666
2810417H13RIK,1.6104309134660753,,,7.947255333333334
6720489N17RIK,1.6088578204742923,,,6.953246833333334
LIG1,1.6053796912230758,,,6.81187
WDR76,1.5861269107585017,,,6.194714500000001
IFIT2,1.5602557620471074,,,5.463562666666667
MLF1,1.5560430427255356,,,4.9370166666666675
SYCE2,1.5556088631683171,,,6.872597666666667
MCM7,1.5355895714955592,,,7.341831666666667
MCM4,1.5236244296721908,,,7.1536314999999995
UHRF1,1.5235990892949614,,,7.038138166666666
MCM2,1.522735494201532,,,7.662750666666667
E2F7,1.5092521481539682,,,7.141918
CDT1,1.483700640769944,,,6.554889
DSCC1,1.4677582818338453,,,4.8948616666666664
ANLN,1.460545264045394,,,6.242517166666667
DEK,1.4526788735120966,,,7.8388973333333345
CLGN,1.447418758881889,,,6.698309166666667
GLRA3,1.4332294865660167,,,4.9710005
EXO1,1.4246657654288266,,,5.996789499999999
POLA2,1.4201705727325244,,,7.182486
POLE2,1.404948450824035,,,5.8083659999999995
RRM2,1.4032996849075037,,,7.588818833333334
CDC25A,1.3847881008320468,,,7.764765333333333
E130016E03RIK,1.3804346742430351,,,6.0111704999999995
MYBL1,1.3703338221265,,,6.620642333333333
GINS1,1.366221204569749,,,5.420723833333333
ESCO2,1.3617766113866434,,,6.0377805
SYNE2,1.3553410314442702,,,6.626439333333333
HMMR,1.3511437690339523,,,5.252543833333333
CDKN1A,1.3160190808555106,,,8.710051833333333
4922501C03RIK,1.31448673239465,,,6.441972166666666
MKI67,1.3041241490768212,,,8.0615075
SLBP,1.2905950281478071,,,6.5389005
CASC5,1.2896148283801006,,,6.408666
F730047E07RIK,1.2846509932647807,,,6.016071833333334
5730590G19RIK,1.2805850244081405,,,6.507867166666667
STAG3,1.2797087636129705,,,7.5147474999999995
SLFN9,1.2772744690607385,,,5.379404999999999
CENPI///ARL13A,1.275335789511392,,,5.137265333333333
NUSAP1,1.2689188038524684,,,6.7261370000000005
CLSPN,1.2594329751089466,,,5.530756333333333
STIL,1.2581410308296113,,,6.0929356666666665
MYB,1.2517125493443217,,,6.175773166666667
HIST1H2BM,1.2514440076737487,,,9.119074166666667
HAP1,1.24530477147606,,,6.907173
MLF1IP,1.24135916436867,,,5.488174166666667
SPC25,1.2385600452077354,,,5.639156666666666
DSN1,1.2383999086771726,,,5.950557833333334
TIPIN,1.2335046400107297,,,5.789203
BRIP1,1.2304564774152038,,,5.603015833333334
CDC45L,1.226387806942039,,,6.587186666666667
RAD51,1.22621946861493,,,6.257888833333333
CHRNA3,1.2233710197785217,,,6.422852333333334
DGKK,1.210867480487691,,,6.033790666666667
CCNA2,1.2004229947530254,,,7.898771666666666
NFKBIL2,1.19780658806891,,,6.3732378333333335
EG435366,1.1918669489353584,,,4.942965
FANCA,1.1917813754912197,,,6.336266166666667
ATAD5,1.1700795218358586,,,6.427314
BRCA1,1.1698876832479375,,,5.834577499999999
