Gene,bind_logFC,expr_fong,expr_andr,sign_concordant,delta_abs_expr
BARD1,1.761824020417345,2.265514004744611,0.8791102964832622,True,1.3864037082613487
BRIP1,1.970662160816547,1.994326857505817,1.230456477415204,True,0.763870380090613
CDC7,2.839424172359373,1.143394999098849,0.9843516460894608,True,0.1590433530093882
DEK,-1.364747616717371,1.118001561801245,1.452678873512097,True,0.3346773117108519
EXO1,1.287624122616179,1.708862794127542,1.424665765428827,True,0.284197028698715
FANCA,1.923368554215099,1.36284859369332,1.19178137549122,True,0.1710672182020998
GINS2,2.762268078251187,2.038033429521942,0.8336034706212704,True,1.2044299589006715
LIG1,1.560572527688878,1.122789441725574,1.605379691223076,True,0.48259024949750207
MCM3,1.914243872947878,1.247807928166628,1.847685531350696,True,0.5998776031840678
MCM5,-1.435963453960028,1.313974609119931,1.740217108989797,True,0.4262424998698662
POLQ,2.630280664833366,1.525266474602144,0.7757051172705797,True,0.7495613573315644
RAD50,2.510334036114719,0.8379432433642791,0.6685220061615158,True,0.16942123720276325
RAD51,1.607368325284127,1.696622830599738,1.22621946861493,True,0.47040336198480803
RAD54L,2.309720556316935,1.381515950171964,0.7849317445446425,True,0.5965842056273215
RBBP8,1.449546300031691,0.9485463243361156,1.160727772997322,True,0.21218144866120636
RNF168,-2.263697085602795,1.2940435899619,0.7519132132491939,True,0.5421303767127061
RPA2,1.987778039380911,1.202047332465465,1.047114451930726,True,0.15493288053473897
SAMHD1,-1.471068543510877,0.5906422473875086,0.7484553935122901,True,0.15781314612478148
TIMELESS,2.351542374530895,1.189979964761665,0.680778475472855,True,0.5092014892888099
UNG,1.708234572602271,1.472535782225754,0.8621716529646919,True,0.6103641292610622
